State,County,Year
Michigan,Alcona,2004
Michigan,Alger,2009
Michigan,Allegan,2007
Michigan,Alpena,2007
Michigan,Antrim,2004
Michigan,Arenac,2006
Michigan,Barry,2004
Michigan,Bay,2007
Michigan,Benzie,2005
Michigan,Berrien,2004
Michigan,Branch,2004
Michigan,Calhoun,2003
Michigan,Cass,2007
Michigan,Charlevoix,2005
Michigan,Cheboygan,2004
Michigan,Chippewa,2005
Michigan,Clare,2006
Michigan,Clinton,2004
Michigan,Crawford,2004
Michigan,Delta,2008
Michigan,Eaton,2003
Michigan,Emmet,2004
Michigan,Genesee,2003
Michigan,Gladwin,2006
Michigan,Grand Traverse,2005
Michigan,Gratiot,2004
Michigan,Hillsdale,2004
Michigan,Houghton,2008
Michigan,Huron,2005
Michigan,Ingham,2003
Michigan,Ionia,2005
Michigan,Iosco,2004
Michigan,Isabella,2005
Michigan,Jackson,2003
Michigan,Kalamazoo,2006
Michigan,Kalkaska,2006
Michigan,Kent,2003
Michigan,Keweenaw,2011
Michigan,Lake,2011
Michigan,Lapeer,2004
Michigan,Leelanau,2006
Michigan,Lenawee,2004
Michigan,Livingston,2002
Michigan,Mackinac,2007
Michigan,Macomb,2002
Michigan,Manistee,2004
Michigan,Mason,2005
Michigan,Mecosta,2004
Michigan,Midland,2004
Michigan,Missaukee,2006
Michigan,Monroe,2002
Michigan,Montcalm,2005
Michigan,Montmorency,2005
Michigan,Muskegon,2007
Michigan,Newaygo,2010
Michigan,Oakland,2002
Michigan,Oceana,2004
Michigan,Ogemaw,2004
Michigan,Osceola,2006
Michigan,Oscoda,2004
Michigan,Otsego,2006
Michigan,Ottawa,2003
Michigan,Presque Isle,2004
Michigan,Roscommon,2004
Michigan,Saginaw,2003
Michigan,Sanilac,2004
Michigan,Schoolcraft,2008
Michigan,Shiawassee,2003
Michigan,St. Clair,2003
Michigan,St. Joseph,2004
Michigan,Tuscola,2005
Michigan,Van Buren,2005
Michigan,Washtenaw,2002
Michigan,Wayne,2002
Michigan,Wexford,2011
