STATE,SITE_ID,SITE_NAME,TREE_NUMBER,SPECIES,DBH_CM,CROWN_POSITION,COMMENTS,CROWN_CLASS_IF_ASH_TREE,EAB_SIGNS_EXIT_HOLE,EAB_SIGNS_EPICORMIC_SHOOTS,EAB_SIGNS_WOODPECKER_FEEDING_DAMAGE,EAB_SIGNS_BARK_SPLITS,GRID_ROW,GRID_COLUMN,OBSERVATION_DATE,ORIGIN,POINT_X,POINT_Y
Michigan,28,MR2N,32,elm,6.2,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:10 AM",Research,-84.66,43.13
Michigan,28,MR2N,31,hickory,4.3,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:09 AM",Research,-84.66,43.13
Michigan,28,MR2N,30,black ash,4.2,Suppressed,,5,Yes,Yes,Yes,Yes,E,4,"7/21/2011, 10:08 AM",Research,-84.66,43.13
Michigan,28,MR2N,29,black ash,7.6,Intermediate,,2,No,No,No,No,E,4,"7/21/2011, 10:05 AM",Research,-84.66,43.13
Michigan,28,MR2N,28,elm,8.8,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:04 AM",Research,-84.66,43.13
Michigan,28,MR2N,27,elm,7.8,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:03 AM",Research,-84.66,43.13
Michigan,28,MR2N,26,elm,10,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:03 AM",Research,-84.66,43.13
Michigan,28,MR2N,25,white oak,7.2,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:02 AM",Research,-84.66,43.13
Michigan,28,MR2N,24,elm,10.9,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:01 AM",Research,-84.66,43.13
Michigan,28,MR2N,23,elm,9.3,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:01 AM",Research,-84.66,43.13
Michigan,28,MR2N,22,elm,6.9,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 10:00 AM",Research,-84.66,43.13
Michigan,28,MR2N,21,elm,5.8,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:57 AM",Research,-84.66,43.13
Michigan,28,MR2N,20,elm,5.8,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:57 AM",Research,-84.66,43.13
Michigan,28,MR2N,19,elm,4.2,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:56 AM",Research,-84.66,43.13
Michigan,28,MR2N,18,elm,9.1,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:55 AM",Research,-84.66,43.13
Michigan,28,MR2N,17,elm,4.5,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:55 AM",Research,-84.66,43.13
Michigan,28,MR2N,16,elm,5.8,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:54 AM",Research,-84.66,43.13
Michigan,28,MR2N,15,white oak,8.9,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:53 AM",Research,-84.66,43.13
Michigan,28,MR2N,14,black ash,5.7,Suppressed,,1,No,No,No,No,E,4,"7/21/2011, 9:52 AM",Research,-84.66,43.13
Michigan,28,MR2N,13,elm,4.3,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,4,"7/21/2011, 9:50 AM",Research,-84.66,43.13
