STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,"1,983",There are parasitoids in this sample but I do not believe they are any of the ones we have released,,Program,IND7/13-12,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,Yes,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,There were no exotic pasrsitoids in this sample (Juli).,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-8,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-9,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.78,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-1,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-4,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-6,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-3,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-13,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-5,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-11,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,Yes,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,There were no exotic parasitoids in this sample. Juli,SLBENRM,Old Indian Trail,0
