STATE,SITE_NAME,SITE_NAME,RELEASE_DATE,RELEASE_TIME,WEATHER_CONDITIONS,APPROXIMATE_WIND_SPEED,AMBIENT_TEMPERATURE_F,#_OOBIUS_RELEASED,#_SPATHIUS_RELEASED,#_TETRASTICHUS_RELEASED,#_OTHER_SPECIMEN_RELEASED,COMMENTS,ORIGIN,POINT_X,POINT_Y,STAGE_OOBIUS_RELEASED,STAGE_SPATHIUS_RELEASED,STAGE_TETRASTICHUS_RELEASED,STAGE_OTHER_SPECIMEN_RELEASED,COUNT_SGALINAE_RELEASED,STAGE_SGALINAE_RELEASED
Michigan,"1,742",gbl,"7/23/2011, 8:00 PM",1200,Partly cloudy,Light,75,40,0,130,0,,Research,-83.57,44.65,Adult,,Adult,,0,
Michigan,"1,742",gbl,"7/23/2011, 8:00 PM",1200,Partly cloudy,Light,75,40,0,130,0,,Research,-83.57,44.65,Adult,,Adult,,0,
Michigan,"1,742",gbl,"7/23/2011, 8:00 PM",1100,Partly cloudy,Light,75,40,100,0,0,,Research,-83.57,44.65,Adult,Adult,,,0,
Michigan,28,MR2N,"8/2/2011, 8:00 PM",11:00,Light rain,Moderate,80,0,200,200,0,,Research,-84.66,43.13,,Adult,,Adult,0,
Michigan,29,MR2G,"8/2/2011, 8:00 PM",11:00,Light rain,Moderate,80,0,200,200,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,33,IOG,"8/2/2011, 8:00 PM",13:00,Cloudy,Light,80,0,200,200,0,,Research,-85.12,42.96,,,,,,
Michigan,32,ION,"8/2/2011, 8:00 PM",13:00,Cloudy,Light,80,0,200,200,0,,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"8/15/2011, 8:00 PM",11:00,Sunny,Light,78,0,200,200,0,,Research,-85.13,42.96,,,,,,
Michigan,32,ION,"8/15/2011, 8:00 PM",11:00,Sunny,Light,78,0,200,200,0,,Research,-85.12,42.96,,,,,,
Michigan,28,MR2N,"8/15/2011, 8:00 PM",11:00,Sunny,Light,78,0,200,200,0,,Research,-84.66,43.13,,Adult,Adult,,0,
Michigan,29,MR2G,"8/15/2011, 8:00 PM",11:00,Sunny,Light,78,0,200,200,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,29,MR2G,"6/7/2011, 8:00 PM",11:00am,Sunny,Light,95,0,200,200,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,28,MR2N,"6/7/2011, 8:00 PM",11:00 AM,Sunny,Light,95,0,200,200,0,,Research,-84.66,43.13,,Adult,Adult,,0,
Michigan,32,ION,"6/7/2011, 8:00 PM",1:00,Sunny,Light,95,0,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"6/7/2011, 8:00 PM",1:00 PM,Sunny,Light,95,0,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,17,tusg,"6/13/2011, 8:00 PM",11:00 AM,Sunny,Light,75,0,200,200,,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"6/13/2011, 8:00 PM",11:00,Sunny,Light,75,0,200,200,,,Research,-83.37,43.44,,,,,,
Michigan,14,tung,"6/13/2011, 8:00 PM",11:00 AM,Sunny,Light,75,0,200,200,,,Research,-83.36,43.45,,,,,,
Michigan,13,tunn,"6/13/2011, 8:00 PM",11:00 AM,Sunny,Light,75,0,200,200,,,Research,-83.33,43.45,,,,,,
Michigan,10,dfg,"6/13/2011, 8:00 PM",12:30,Sunny,Light,75,0,200,200,,,Research,-83.23,43.5,,,,,,
Michigan,10,dfg,"6/27/2011, 8:00 PM",12:30,Cloudy,Moderate,75,100,200,200,,,Research,-83.23,43.5,,,,,,
Michigan,10,dfg,"7/11/2011, 8:00 PM",12:00,Sunny,Light,88,100,200,200,,,Research,-83.23,43.5,,,,,,
Michigan,11,dfn,"6/13/2011, 8:00 PM",12:30,Sunny,Light,75,0,200,200,,,Research,-83.25,43.49,,,,,,
Michigan,11,dfn,"6/27/2011, 8:00 PM",1:00 PM,Cloudy,Moderate,75,100,200,200,,,Research,-83.25,43.49,,,,,,
Michigan,11,dfn,"7/11/2011, 8:00 PM",12:00 PM,Sunny,Light,88,100,200,200,,,Research,-83.25,43.49,,,,,,
Michigan,29,MR2G,"6/21/2011, 8:00 PM",11:00,Partly cloudy,Light,78,100,200,200,0,,Research,-84.7,43.12,Adult,Adult,Adult,,0,
Michigan,29,MR2G,"7/5/2011, 8:00 PM",11:00,Sunny,Light,85,100,200,200,0,,Research,-84.7,43.12,Adult,Adult,Adult,,0,
Michigan,28,MR2N,"6/21/2011, 8:00 PM",11:00,Partly cloudy,Light,78,100,200,200,0,,Research,-84.66,43.13,Adult,,Adult,,0,
Michigan,28,MR2N,"7/5/2011, 8:00 PM",11:00,Sunny,Light,85,100,200,200,0,,Research,-84.66,43.13,Adult,Adult,Adult,,0,
Michigan,33,IOG,"6/21/2011, 8:00 PM",1:30 PM,Light rain,Moderate,70,100,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"7/5/2011, 8:00 PM",1:00 PM,Sunny,Light,85,100,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,32,ION,"6/21/2011, 8:00 PM",1:30,Light rain,Moderate,70,100,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,32,ION,"7/5/2011, 8:00 PM",1:00,Sunny,Light,85,100,200,200,,,Research,-85.12,42.96,,,,,,
Michigan,17,tusg,"6/27/2011, 8:00 PM",11:00,Partly cloudy,Moderate,75,100,200,200,,,Research,-83.36,43.43,,,,,,
Michigan,17,tusg,"7/11/2011, 8:00 PM",11:00,Sunny,Light,88,100,200,200,,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"6/27/2011, 8:00 PM",11:00 AM,Partly cloudy,Moderate,75,100,200,200,,,Research,-83.37,43.44,,,,,,
Michigan,18,tusn,"7/11/2011, 8:00 PM",11:00 AM,Sunny,Light,88,100,200,200,,,Research,-83.37,43.44,,,,,,
Michigan,14,tung,"6/27/2011, 8:00 PM",11:00 AM,Partly cloudy,Moderate,75,100,200,200,,,Research,-83.36,43.45,,,,,,
