STATE,DATE,SITE_ID,SITE_NAME,SITE_LOCATION,SIZE_OF_WOODED_AREA_ACRES,%ASH,OVERSTORY_DOMINANT_SPECIES,OVERSTORY_2ND_MOST_ABUNDANT,OVERSTORY_3RD_MOST_ABUNDANT,EAB_DENSITY,COMMENTS,STATUS,USER_ID,ORIGIN,POINT_X,POINT_Y,PLOT_TYPE,SITE_ID_OF_PAIR_RC,TOPOGRAPHIC POSITION,FLOODING,DEGREE_OF_ISOLATION
Michigan,"7/25/2012, 8:00 PM","2,094",ALLSGA,Allegan State Game Area near Swan Creek Marsh,"2,000.00",75%,green ash,other maple,other oak,Low,green ash moderately infested & some balck ash heavily infested along the Kalamazoo River,Approved,lsbauer,Program,-85.98,42.6,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"8/23/2012, 8:00 PM","1,992",Empire Bluff Trail,"Empire Bluff Trail, Leelanau County, MI, Sleeping Bear Dunes National Lakeshore",2.7,25%,sugar maple,green ash,beech,Low,,Approved,SLBENRM,Program,-86.07,44.8,Release,,Level,Dry all year,Connected to other woodlots
Michigan,"9/22/2011, 8:00 PM","1,800",SWPK,Scott Woods Park,500,50%,other oak,cottonwood,other maple,High,,Approved,lsbauer,Program,-84.53,42.7,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2008, 8:00 PM","1,802",MSUTRC,Michigan State University Tree Research Center,500,75%,other oak,cottonwood,other maple,High,,Approved,lsbauer,Program,-84.47,42.67,Release,"5,025",Level,Seasonally wet,Connected to other woodlots
Michigan,"8/5/2007, 8:00 PM","1,769",CPNMLT,Central Park-Nancy Moore Parks Meridian Township LT Release,50000%,25%,green ash,cottonwood,elm,Medium,,Approved,lsbauer,Research,-84.42,42.73,Release,"1,793",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2008, 8:00 PM","1,770",LPRFLT,Harris Nature Center-Riverfront-Legg Pk Meridian Township LT Release,200,25%,green ash,other maple,cottonwood,Medium,,Approved,lsbauer,Research,-84.38,42.7,Release,"1,804",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2008, 8:00 PM","1,773",BFPKLT,Burchfield Ingham County Park LT Release,30000%,25%,green ash,other maple,cottonwood,Medium,,Approved,lsbauer,Research,-84.6,42.59,Release,"1,798",Level,Seasonally wet,Connected to other woodlots
Michigan,"8/18/2011, 8:00 PM","1,953",Forest of the Future,Delta Schoolcraft,99999900%,100%,other species,other species,other species,High,Physical Site Characteristics are not accurate and need to be updated. TCP 05_21_2012,Approved,bfeldt,Program,-86.6,45.91,Release,,Lower slope,Dry all year,Isolated
Michigan,"4/30/2011, 8:00 PM","1,764",WMPKS,Willow Metropark South,50000%,<25%,green ash,elm,boxelder,Medium,elevation estimate,Approved,lsbauer,Research,-83.37,42.13,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,765",LKEMP,Lake Erie Metropark,500,<25%,green ash,elm,cottonwood,Medium,elevation estimate,Approved,lsbauer,Research,-83.2,42.08,Release,"2,108",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,774",MRWEST,Maple River State Game Area West,500,75%,green ash,other maple,cottonwood,Low,"Green ash monoculture along Maple River -- most trees large but some medium & smaller trees. In 2011, few signs & symptoms of EAB in this ash stand. This year, most trees showed moderate to high attack.",Approved,lsbauer,Research,-84.87,43.03,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,756",HNFBC,Huron National Forest Barton City,400,50%,white ash,black ash,basswood,Low,"Adult parasitoids were released by Sue Kocis, Karlis Lazda, Leah Bauer",Approved,lsbauer,Program,-83.58,44.65,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,766",PINPK,Pinconning County Park,200,75%,green ash,black ash,cottonwood,High,"Released by Alicia Wallace, Bay County Gypsy Moth Suppression Program, Bay City, MI",Approved,lsbauer,Program,-83.92,43.85,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/4/2011, 8:00 PM","1,767",ASORR,Au Sable State Forest Rifle River in Omer,500,25%,green ash,basswood,cottonwood,Medium,,Approved,lsbauer,Program,-83.83,44.03,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,896",Benda,Houghton Michigan,31,50%,black ash,alder,other species,High,,Approved,bfeldt,Program,-88.44,47.22,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"6/29/2012, 8:00 PM","2,096",AS-South,Au Sable State Forest South Mt. Pleasent,"2,500.00",25%,aspen/poplar,other maple,other birch,High,Mixture of green and black ash moderately to heavily infested. Some trees dead.,Approved,lsbauer,Program,-84.5,43.53,Release,,Level,Seasonally wet,Connected to other woodlots
