STATE,SITE_ID,SITE_NAME,TREE_NUMBER,SPECIES,DBH_CM,COMMENTS,CROWN_CLASS,LOWER_HALF_EXIT_HOLES,LOWER_HALF_BARK_SPLITS,LOWER_HALF_WOODPECKER_FEEDING_DAMAGE,LOWER_HALF_EPICORMIC_SHOOTS,UPPER_HALF_EPICORMIC_SHOOTS,UPPER_HALF_WOODPECKER_FEEDING_DAMAGE,OBSERVATION_DATE,ORIGIN,POINT_X,POINT_Y
Michigan,15,tunn_C,"1,236",black ash,18,tun cont species null now black ash,1,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.38,43.45
Michigan,10,dfg,"1,244",black ash,12.8,df girdle species null now black ash,3,No,Yes,Yes,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,242",black ash,8.4,df girdle species null now black ash,4,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,240",black ash,6.2,df girdle species null now black ash,4,No,Yes,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,241",black ash,20.2,df girdle species null now black ash,4,No,Yes,Yes,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,243",black ash,22.2,df girdle species null now black ash,2,No,No,Yes,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,239",black ash,7.6,df girdle species null now black ash,2,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,248",black ash,19,df g ng species null now black ash,1,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,253",black ash,13.2,df g ng species null now black ash,1,No,No,Yes,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,249",black ash,8.8,df g ng species null now black ash,1,No,Yes,Yes,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,17,tusg,"1,505",black ash,12.2,tus girdle species null now black ash,3,No,No,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.36,43.43
Michigan,18,tusn,"1,180",black ash,15.5,tus ngr species null now black ash,2,Yes,Yes,Yes,,,Yes,"12/31/1969, 7:00 PM",Research,-83.37,43.43
Michigan,18,tusn,"1,175",black ash,14.7,tus ngr species null now black ash,3,No,No,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.37,43.44
Michigan,16,tusn_C,"1,294",black ash,13.2,tus cont species null now black ash,1,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.34,43.43
Michigan,14,tung,"1,216",black ash,8.7,tun girdle species null now black ash,3,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.36,43.45
Michigan,13,tunn,"1,185",black ash,12.5,tun ngr species null now black ash,1,No,No,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.33,43.45
Michigan,10,dfg,"1,250",black ash,19.6,df g ng species null now black ash,1,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,254",black ash,15.2,df g ng species null now black ash,1,No,No,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,251",black ash,11.4,df g ng species null now black ash,2,No,Yes,No,,,Yes,"12/31/1969, 7:00 PM",Research,-83.23,43.5
Michigan,10,dfg,"1,252",black ash,12,df g ng species null now black ash,1,No,No,No,,,No,"12/31/1969, 7:00 PM",Research,-83.23,43.5
