"",2/23/2022
"Timezone",-5

"Serial No.","A900000078DC7041"
"Location:","Jericho_11_2_4D"
"High temperature limit (°C)",20.14
"Low temperature limit (°C)",-30.11
"Date - Time","Temperature (°C)"
"11/18/2021 15:59",9.6
"11/18/2021 16:29",8.6
"11/18/2021 16:59",8.1
"11/18/2021 17:29",7.6
"11/18/2021 17:59",7.6
"11/18/2021 18:29",7.1
"11/18/2021 18:59",6.6
"11/18/2021 19:29",6.6
"11/18/2021 19:59",6.1
"11/18/2021 20:29",6.1
"11/18/2021 20:59",5.1
"11/18/2021 21:29",5.1
"11/18/2021 21:59",4.6
"11/18/2021 22:29",4.1
"11/18/2021 22:59",3.6
"11/18/2021 23:29",3.6
"11/18/2021 23:59",3.1
"11/19/2021 00:29",2.6
"11/19/2021 00:59",2.6
"11/19/2021 01:29",2.6
"11/19/2021 01:59",2.1
"11/19/2021 02:29",2.1
"11/19/2021 02:59",2.1
"11/19/2021 03:29",2.1
"11/19/2021 03:59",2.1
"11/19/2021 04:29",2.1
"11/19/2021 04:59",2.1
"11/19/2021 05:29",2.1
"11/19/2021 05:59",2.1
"11/19/2021 06:29",2.1
"11/19/2021 06:59",2.1
"11/19/2021 07:29",2.6
"11/19/2021 07:59",2.6
"11/19/2021 08:29",2.6
"11/19/2021 08:59",3.1
"11/19/2021 09:29",2.6
"11/19/2021 09:59",3.1
"11/19/2021 10:29",2.1
"11/19/2021 10:59",2.1
"11/19/2021 11:29",2.1
"11/19/2021 11:59",2.6
"11/19/2021 12:29",2.1
"11/19/2021 12:59",1.6
"11/19/2021 13:29",1.6
"11/19/2021 13:59",1.1
"11/19/2021 14:29",1.1
"11/19/2021 14:59",1.1
"11/19/2021 15:29",1.1
"11/19/2021 15:59",0.6
"11/19/2021 16:29",0.6
"11/19/2021 16:59",0.6
"11/19/2021 17:29",0.1
"11/19/2021 17:59",0.6
"11/19/2021 18:29",0.6
"11/19/2021 18:59",0.1
"11/19/2021 19:29",0.6
"11/19/2021 19:59",0.6
"11/19/2021 20:29",0.6
"11/19/2021 20:59",0.6
"11/19/2021 21:29",0.6
"11/19/2021 21:59",0.6
"11/19/2021 22:29",0.1
"11/19/2021 22:59",0.1
"11/19/2021 23:29",-0.4
"11/19/2021 23:59",-0.4
"11/20/2021 00:29",-0.4
"11/20/2021 00:59",-0.9
"11/20/2021 01:29",-0.9
"11/20/2021 01:59",-0.9
"11/20/2021 02:29",-0.9
"11/20/2021 02:59",-0.9
"11/20/2021 03:29",-0.9
"11/20/2021 03:59",-0.9
"11/20/2021 04:29",-1.4
"11/20/2021 04:59",-1.4
"11/20/2021 05:29",-1.4
"11/20/2021 05:59",-1.4
"11/20/2021 06:29",-1.4
"11/20/2021 06:59",-1.4
"11/20/2021 07:29",-1.4
"11/20/2021 07:59",-1.4
"11/20/2021 08:29",-0.9
"11/20/2021 08:59",-0.4
"11/20/2021 09:29",-0.4
"11/20/2021 09:59",0.1
"11/20/2021 10:29",0.6
"11/20/2021 10:59",0.6
"11/20/2021 11:29",1.1
"11/20/2021 11:59",1.1
"11/20/2021 12:29",1.6
"11/20/2021 12:59",2.1
"11/20/2021 13:29",2.6
"11/20/2021 13:59",2.6
"11/20/2021 14:29",2.1
"11/20/2021 14:59",2.1
"11/20/2021 15:29",2.1
"11/20/2021 15:59",1.6
"11/20/2021 16:29",1.6
"11/20/2021 16:59",1.6
"11/20/2021 17:29",1.6
"11/20/2021 17:59",1.6
"11/20/2021 18:29",1.1
"11/20/2021 18:59",1.1
"11/20/2021 19:29",1.1
"11/20/2021 19:59",1.6
"11/20/2021 20:29",1.6
"11/20/2021 20:59",2.1
"11/20/2021 21:29",2.1
"11/20/2021 21:59",2.6
"11/20/2021 22:29",2.6
"11/20/2021 22:59",2.6
"11/20/2021 23:29",2.6
"11/20/2021 23:59",2.6
"11/21/2021 00:29",2.6
"11/21/2021 00:59",2.6
