DateTime,Temperature,Group,Tempc
11/18/2021 15:59,9.6,11_2_4_D,4.1
11/18/2021 16:29,8.6,11_2_4_D,-0.9
11/18/2021 16:59,8.1,11_2_4_D,-1.9
11/18/2021 17:29,7.6,11_2_4_D,-3.4
11/18/2021 17:59,7.6,11_2_4_D,-4.4
11/18/2021 18:29,7.1,11_2_4_D,-4.9
11/18/2021 18:59,6.6,11_2_4_D,-5.9
11/18/2021 19:29,6.6,11_2_4_D,-6.4
11/18/2021 19:59,6.1,11_2_4_D,-6.9
11/18/2021 20:29,6.1,11_2_4_D,-7.4
11/18/2021 20:59,5.1,11_2_4_D,-7.9
11/18/2021 21:29,5.1,11_2_4_D,-9
11/18/2021 21:59,4.6,11_2_4_D,-9.5
11/18/2021 22:29,4.1,11_2_4_D,-10
11/18/2021 22:59,3.6,11_2_4_D,-10
11/18/2021 23:29,3.6,11_2_4_D,-10
11/18/2021 23:59,3.1,11_2_4_D,-10.5
11/19/2021 0:29,2.6,11_2_4_D,-10.5
11/19/2021 0:59,2.6,11_2_4_D,-10.5
11/19/2021 1:29,2.6,11_2_4_D,-11
11/19/2021 1:59,2.1,11_2_4_D,-11
11/19/2021 2:29,2.1,11_2_4_D,-11.5
11/19/2021 2:59,2.1,11_2_4_D,-12
11/19/2021 3:29,2.1,11_2_4_D,-12
11/19/2021 3:59,2.1,11_2_4_D,-12.5
11/19/2021 4:29,2.1,11_2_4_D,-12.5
11/19/2021 4:59,2.1,11_2_4_D,-12.5
11/19/2021 5:29,2.1,11_2_4_D,-13
11/19/2021 5:59,2.1,11_2_4_D,-13
11/19/2021 6:29,2.1,11_2_4_D,-13
11/19/2021 6:59,2.1,11_2_4_D,-13.5
11/19/2021 7:29,2.6,11_2_4_D,-13.5
11/19/2021 7:59,2.6,11_2_4_D,-13.5
11/19/2021 8:29,2.6,11_2_4_D,-13
11/19/2021 8:59,3.1,11_2_4_D,-13
11/19/2021 9:29,2.6,11_2_4_D,-12.5
11/19/2021 9:59,3.1,11_2_4_D,-12
11/19/2021 10:29,2.1,11_2_4_D,-11.5
11/19/2021 10:59,2.1,11_2_4_D,-10.5
11/19/2021 11:29,2.1,11_2_4_D,-9
11/19/2021 11:59,2.6,11_2_4_D,-5.9
11/19/2021 12:29,2.1,11_2_4_D,-7.4
11/19/2021 12:59,1.6,11_2_4_D,-7.9
11/19/2021 13:29,1.6,11_2_4_D,-6.9
11/19/2021 13:59,1.1,11_2_4_D,-6.9
11/19/2021 14:29,1.1,11_2_4_D,-7.4
11/19/2021 14:59,1.1,11_2_4_D,-6.9
11/19/2021 15:29,1.1,11_2_4_D,-6.9
11/19/2021 15:59,0.6,11_2_4_D,-6.9
11/19/2021 16:29,0.6,11_2_4_D,-6.9
11/19/2021 16:59,0.6,11_2_4_D,-7.4
11/19/2021 17:29,0.1,11_2_4_D,-7.4
11/19/2021 17:59,0.6,11_2_4_D,-7.9
11/19/2021 18:29,0.6,11_2_4_D,-8.5
11/19/2021 18:59,0.1,11_2_4_D,-9
11/19/2021 19:29,0.6,11_2_4_D,-9.5
11/19/2021 19:59,0.6,11_2_4_D,-10
11/19/2021 20:29,0.6,11_2_4_D,-10.5
11/19/2021 20:59,0.6,11_2_4_D,-10.5
11/19/2021 21:29,0.6,11_2_4_D,-10.5
11/19/2021 21:59,0.6,11_2_4_D,-11
11/19/2021 22:29,0.1,11_2_4_D,-11
11/19/2021 22:59,0.1,11_2_4_D,-11
11/19/2021 23:29,-0.4,11_2_4_D,-11
11/19/2021 23:59,-0.4,11_2_4_D,-11
11/20/2021 0:29,-0.4,11_2_4_D,-11
11/20/2021 0:59,-0.9,11_2_4_D,-11
11/20/2021 1:29,-0.9,11_2_4_D,-11.5
11/20/2021 1:59,-0.9,11_2_4_D,-11
11/20/2021 2:29,-0.9,11_2_4_D,-11
11/20/2021 2:59,-0.9,11_2_4_D,-11
11/20/2021 3:29,-0.9,11_2_4_D,-10.5
11/20/2021 3:59,-0.9,11_2_4_D,-10.5
11/20/2021 4:29,-1.4,11_2_4_D,-10.5
11/20/2021 4:59,-1.4,11_2_4_D,-10.5
11/20/2021 5:29,-1.4,11_2_4_D,-10
11/20/2021 5:59,-1.4,11_2_4_D,-10
11/20/2021 6:29,-1.4,11_2_4_D,-9.5
11/20/2021 6:59,-1.4,11_2_4_D,-10
11/20/2021 7:29,-1.4,11_2_4_D,-10
11/20/2021 7:59,-1.4,11_2_4_D,-9.5
11/20/2021 8:29,-0.9,11_2_4_D,-9.5
11/20/2021 8:59,-0.4,11_2_4_D,-8.5
11/20/2021 9:29,-0.4,11_2_4_D,-7.9
