DateTime,TemperatureC,Group
11/18/2021 15:59,7.6,11_2_5_D
11/18/2021 16:29,7.1,11_2_5_D
11/18/2021 16:59,6.6,11_2_5_D
11/18/2021 17:29,6.6,11_2_5_D
11/18/2021 17:59,6.1,11_2_5_D
11/18/2021 18:29,6.1,11_2_5_D
11/18/2021 18:59,5.6,11_2_5_D
11/18/2021 19:29,5.6,11_2_5_D
11/18/2021 19:59,5.6,11_2_5_D
11/18/2021 20:29,5.1,11_2_5_D
11/18/2021 20:59,4,11_2_5_D
11/18/2021 21:29,3.5,11_2_5_D
11/18/2021 21:59,3.5,11_2_5_D
11/18/2021 22:29,3,11_2_5_D
11/18/2021 22:59,2,11_2_5_D
11/18/2021 23:29,2,11_2_5_D
11/18/2021 23:59,1.5,11_2_5_D
11/19/2021 0:29,1,11_2_5_D
11/19/2021 0:59,1,11_2_5_D
11/19/2021 1:29,1.5,11_2_5_D
11/19/2021 1:59,1.5,11_2_5_D
11/19/2021 2:29,1,11_2_5_D
11/19/2021 2:59,1,11_2_5_D
11/19/2021 3:29,1,11_2_5_D
11/19/2021 3:59,1,11_2_5_D
11/19/2021 4:29,2,11_2_5_D
11/19/2021 4:59,1.5,11_2_5_D
11/19/2021 5:29,1.5,11_2_5_D
11/19/2021 5:59,1.5,11_2_5_D
11/19/2021 6:29,2,11_2_5_D
11/19/2021 6:59,2,11_2_5_D
11/19/2021 7:29,2.5,11_2_5_D
11/19/2021 7:59,3,11_2_5_D
11/19/2021 8:29,3,11_2_5_D
11/19/2021 8:59,3,11_2_5_D
11/19/2021 9:29,2.5,11_2_5_D
11/19/2021 9:59,3.5,11_2_5_D
11/19/2021 10:29,1.5,11_2_5_D
11/19/2021 10:59,2,11_2_5_D
11/19/2021 11:29,2,11_2_5_D
11/19/2021 11:59,3,11_2_5_D
11/19/2021 12:29,1.5,11_2_5_D
11/19/2021 12:59,1.5,11_2_5_D
11/19/2021 13:29,1,11_2_5_D
11/19/2021 13:59,1,11_2_5_D
11/19/2021 14:29,1,11_2_5_D
11/19/2021 14:59,1,11_2_5_D
11/19/2021 15:29,0.5,11_2_5_D
11/19/2021 15:59,0,11_2_5_D
11/19/2021 16:29,-0.5,11_2_5_D
11/19/2021 16:59,-0.5,11_2_5_D
11/19/2021 17:29,-0.5,11_2_5_D
11/19/2021 17:59,0,11_2_5_D
11/19/2021 18:29,0,11_2_5_D
11/19/2021 18:59,0,11_2_5_D
11/19/2021 19:29,0,11_2_5_D
11/19/2021 19:59,0.5,11_2_5_D
11/19/2021 20:29,0.5,11_2_5_D
11/19/2021 20:59,0.5,11_2_5_D
11/19/2021 21:29,0.5,11_2_5_D
11/19/2021 21:59,0,11_2_5_D
11/19/2021 22:29,-0.5,11_2_5_D
11/19/2021 22:59,-1,11_2_5_D
11/19/2021 23:29,-1.5,11_2_5_D
11/19/2021 23:59,-1.5,11_2_5_D
11/20/2021 0:29,-1.5,11_2_5_D
11/20/2021 0:59,-1.5,11_2_5_D
11/20/2021 1:29,-2,11_2_5_D
11/20/2021 1:59,-2,11_2_5_D
11/20/2021 2:29,-2,11_2_5_D
11/20/2021 2:59,-2,11_2_5_D
11/20/2021 3:29,-2,11_2_5_D
11/20/2021 3:59,-2.5,11_2_5_D
11/20/2021 4:29,-2.5,11_2_5_D
11/20/2021 4:59,-2.5,11_2_5_D
11/20/2021 5:29,-3,11_2_5_D
11/20/2021 5:59,-3,11_2_5_D
11/20/2021 6:29,-3,11_2_5_D
11/20/2021 6:59,-2.5,11_2_5_D
11/20/2021 7:29,-2.5,11_2_5_D
11/20/2021 7:59,-2,11_2_5_D
11/20/2021 8:29,-1.5,11_2_5_D
11/20/2021 8:59,-0.5,11_2_5_D
11/20/2021 9:29,1.5,11_2_5_D
11/20/2021 9:59,0.5,11_2_5_D
11/20/2021 10:29,1,11_2_5_D
11/20/2021 10:59,1,11_2_5_D
11/20/2021 11:29,1.5,11_2_5_D
11/20/2021 11:59,2,11_2_5_D
11/20/2021 12:29,2.5,11_2_5_D
11/20/2021 12:59,3,11_2_5_D
11/20/2021 13:29,3.5,11_2_5_D
11/20/2021 13:59,2.5,11_2_5_D
11/20/2021 14:29,2,11_2_5_D
11/20/2021 14:59,1,11_2_5_D
11/20/2021 15:29,1,11_2_5_D
11/20/2021 15:59,1,11_2_5_D
11/20/2021 16:29,0.5,11_2_5_D
11/20/2021 16:59,0.5,11_2_5_D
11/20/2021 17:29,1,11_2_5_D
11/20/2021 17:59,1,11_2_5_D
11/20/2021 18:29,0.5,11_2_5_D
11/20/2021 18:59,0.5,11_2_5_D
11/20/2021 19:29,0.5,11_2_5_D
11/20/2021 19:59,1,11_2_5_D
11/20/2021 20:29,2,11_2_5_D
11/20/2021 20:59,2.5,11_2_5_D
11/20/2021 21:29,2.5,11_2_5_D
11/20/2021 21:59,2.5,11_2_5_D
11/20/2021 22:29,2.5,11_2_5_D
