"",7/2/2022
"Timezone",-4

"Serial No.","6A00000078E54341"
"Location:","Jericho_11_1_1U"
"High temperature limit (°C)",40.11
"Low temperature limit (°C)",-41.32
"Date - Time","Temperature (°C)"
"5/26/2022 15:31",23.6
"5/26/2022 16:01",22.6
"5/26/2022 16:31",22.1
"5/26/2022 17:01",22.6
"5/26/2022 17:31",22.1
"5/26/2022 18:01",22.1
"5/26/2022 18:31",22.1
"5/26/2022 19:01",21.1
"5/26/2022 19:31",20.6
"5/26/2022 20:01",20.6
"5/26/2022 20:31",19.6
"5/26/2022 21:01",19.6
"5/26/2022 21:31",19.6
"5/26/2022 22:01",19.1
"5/26/2022 22:31",19.1
"5/26/2022 23:01",18.6
"5/26/2022 23:31",18.1
"5/27/2022 00:01",18.6
"5/27/2022 00:31",18.1
"5/27/2022 01:01",18.6
"5/27/2022 01:31",18.1
"5/27/2022 02:01",18.6
"5/27/2022 02:31",18.1
"5/27/2022 03:01",18.1
"5/27/2022 03:31",17.1
"5/27/2022 04:01",16.6
"5/27/2022 04:31",16.6
"5/27/2022 05:01",16.6
"5/27/2022 05:31",16.6
"5/27/2022 06:01",16.6
"5/27/2022 06:31",17.1
"5/27/2022 07:01",17.1
"5/27/2022 07:31",17.6
"5/27/2022 08:01",18.1
"5/27/2022 08:31",18.1
"5/27/2022 09:01",18.6
"5/27/2022 09:31",19.1
"5/27/2022 10:01",19.1
"5/27/2022 10:31",19.6
"5/27/2022 11:01",19.6
"5/27/2022 11:31",20.6
"5/27/2022 12:01",21.1
"5/27/2022 12:31",22.1
"5/27/2022 13:01",22.1
"5/27/2022 13:31",23.1
"5/27/2022 14:01",23.1
"5/27/2022 14:31",23.1
"5/27/2022 15:01",23.1
"5/27/2022 15:31",23.1
"5/27/2022 16:01",22.6
"5/27/2022 16:31",22.6
"5/27/2022 17:01",22.6
"5/27/2022 17:31",22.6
"5/27/2022 18:01",22.1
"5/27/2022 18:31",22.1
"5/27/2022 19:01",21.6
"5/27/2022 19:31",21.6
"5/27/2022 20:01",21.1
"5/27/2022 20:31",21.1
"5/27/2022 21:01",20.6
"5/27/2022 21:31",20.6
"5/27/2022 22:01",20.6
"5/27/2022 22:31",20.6
"5/27/2022 23:01",21.1
"5/27/2022 23:31",21.1
"5/28/2022 00:01",21.1
"5/28/2022 00:31",21.1
"5/28/2022 01:01",20.1
"5/28/2022 01:31",19.1
"5/28/2022 02:01",18.6
"5/28/2022 02:31",18.1
"5/28/2022 03:01",18.1
"5/28/2022 03:31",18.1
"5/28/2022 04:01",18.1
"5/28/2022 04:31",18.1
"5/28/2022 05:01",18.1
"5/28/2022 05:31",17.6
"5/28/2022 06:01",17.6
"5/28/2022 06:31",17.6
"5/28/2022 07:01",18.1
"5/28/2022 07:31",18.6
"5/28/2022 08:01",19.1
"5/28/2022 08:31",19.6
"5/28/2022 09:01",20.1
"5/28/2022 09:31",21.6
"5/28/2022 10:01",21.6
"5/28/2022 10:31",22.6
"5/28/2022 11:01",18.6
"5/28/2022 11:31",16.6
"5/28/2022 12:01",14.6
"5/28/2022 12:31",14.6
"5/28/2022 13:01",15.6
"5/28/2022 13:31",15.6
"5/28/2022 14:01",16.6
"5/28/2022 14:31",16.6
"5/28/2022 15:01",17.1
"5/28/2022 15:31",17.1
"5/28/2022 16:01",18.1
"5/28/2022 16:31",17.1
"5/28/2022 17:01",17.1
"5/28/2022 17:31",16.6
"5/28/2022 18:01",16.6
"5/28/2022 18:31",16.6
"5/28/2022 19:01",16.1
"5/28/2022 19:31",15.6
"5/28/2022 20:01",15.6
"5/28/2022 20:31",15.1
"5/28/2022 21:01",15.1
"5/28/2022 21:31",14.1
"5/28/2022 22:01",14.1
"5/28/2022 22:31",13.1
"5/28/2022 23:01",13.1
"5/28/2022 23:31",12.6
"5/29/2022 00:01",12.1
"5/29/2022 00:31",12.1
"5/29/2022 01:01",12.1
"5/29/2022 01:31",12.1
"5/29/2022 02:01",12.1
"5/29/2022 02:31",12.1
"5/29/2022 03:01",12.1
"5/29/2022 03:31",12.1
"5/29/2022 04:01",12.1
"5/29/2022 04:31",12.1
"5/29/2022 05:01",12.1
"5/29/2022 05:31",12.1
"5/29/2022 06:01",11.6
"5/29/2022 06:31",12.1
"5/29/2022 07:01",13.1
"5/29/2022 07:31",13.6
"5/29/2022 08:01",14.6
"5/29/2022 08:31",15.6
"5/29/2022 09:01",16.6
"5/29/2022 09:31",17.6
"5/29/2022 10:01",19.1
"5/29/2022 10:31",21.1
"5/29/2022 11:01",21.6
"5/29/2022 11:31",22.1
"5/29/2022 12:01",22.6
"5/29/2022 12:31",21.6
"5/29/2022 13:01",22.6
"5/29/2022 13:31",24.1
"5/29/2022 14:01",25.1
"5/29/2022 14:31",24.6
"5/29/2022 15:01",24.6
"5/29/2022 15:31",24.6
"5/29/2022 16:01",24.1
"5/29/2022 16:31",24.1
"5/29/2022 17:01",23.6
"5/29/2022 17:31",23.1
"5/29/2022 18:01",22.6
"5/29/2022 18:31",22.1
"5/29/2022 19:01",21.1
"5/29/2022 19:31",21.1
"5/29/2022 20:01",20.6
"5/29/2022 20:31",20.1
"5/29/2022 21:01",19.1
"5/29/2022 21:31",18.6
"5/29/2022 22:01",18.1
"5/29/2022 22:31",18.1
"5/29/2022 23:01",17.6
"5/29/2022 23:31",17.1
"5/30/2022 00:01",17.1
"5/30/2022 00:31",16.6
"5/30/2022 01:01",16.1
"5/30/2022 01:31",16.1
"5/30/2022 02:01",15.1
"5/30/2022 02:31",15.1
"5/30/2022 03:01",14.1
"5/30/2022 03:31",14.1
"5/30/2022 04:01",13.6
"5/30/2022 04:31",13.6
"5/30/2022 05:01",13.1
"5/30/2022 05:31",13.1
"5/30/2022 06:01",13.1
"5/30/2022 06:31",13.6
"5/30/2022 07:01",14.1
"5/30/2022 07:31",14.6
"5/30/2022 08:01",16.1
"5/30/2022 08:31",18.1
"5/30/2022 09:01",18.6
"5/30/2022 09:31",20.1
"5/30/2022 10:01",19.6
"5/30/2022 10:31",21.6
"5/30/2022 11:01",23.1
"5/30/2022 11:31",23.1
"5/30/2022 12:01",24.1
"5/30/2022 12:31",25.1
"5/30/2022 13:01",26.1
"5/30/2022 13:31",26.1
"5/30/2022 14:01",26.1
"5/30/2022 14:31",27.1
"5/30/2022 15:01",27.1
"5/30/2022 15:31",27.1
"5/30/2022 16:01",26.6
"5/30/2022 16:31",25.6
"5/30/2022 17:01",26.1
"5/30/2022 17:31",25.6
"5/30/2022 18:01",25.1
"5/30/2022 18:31",24.6
"5/30/2022 19:01",24.1
"5/30/2022 19:31",24.1
"5/30/2022 20:01",23.6
"5/30/2022 20:31",23.1
"5/30/2022 21:01",22.6
"5/30/2022 21:31",22.1
"5/30/2022 22:01",22.1
"5/30/2022 22:31",22.1
"5/30/2022 23:01",21.1
"5/30/2022 23:31",21.1
"5/31/2022 00:01",21.1
"5/31/2022 00:31",20.6
"5/31/2022 01:01",20.1
"5/31/2022 01:31",20.1
"5/31/2022 02:01",19.6
"5/31/2022 02:31",20.1
"5/31/2022 03:01",20.1
"5/31/2022 03:31",20.6
"5/31/2022 04:01",20.6
"5/31/2022 04:31",20.6
"5/31/2022 05:01",20.6
"5/31/2022 05:31",20.6
"5/31/2022 06:01",20.6
"5/31/2022 06:31",20.6
"5/31/2022 07:01",20.1
"5/31/2022 07:31",20.6
"5/31/2022 08:01",20.6
"5/31/2022 08:31",20.6
"5/31/2022 09:01",20.6
"5/31/2022 09:31",20.6
"5/31/2022 10:01",21.1
"5/31/2022 10:31",20.1
"5/31/2022 11:01",20.6
