"",7/2/2022
"Timezone",-4

"Serial No.","6000000078E51C41"
"Location:","Jericho_11_1_5D"
"High temperature limit (°C)",40.1
"Low temperature limit (°C)",-41.26
"Date - Time","Temperature (°C)"
"5/26/2022 15:27",22.6
"5/26/2022 15:57",22.1
"5/26/2022 16:27",22.1
"5/26/2022 16:57",22.1
"5/26/2022 17:27",22.1
"5/26/2022 17:57",21.6
"5/26/2022 18:27",22.1
"5/26/2022 18:57",21.1
"5/26/2022 19:27",21.1
"5/26/2022 19:57",20.6
"5/26/2022 20:27",20.1
"5/26/2022 20:57",20.1
"5/26/2022 21:27",19.6
"5/26/2022 21:57",19.6
"5/26/2022 22:27",19.1
"5/26/2022 22:57",19.1
"5/26/2022 23:27",18.6
"5/26/2022 23:57",18.6
"5/27/2022 00:27",18.6
"5/27/2022 00:57",18.6
"5/27/2022 01:27",18.6
"5/27/2022 01:57",18.6
"5/27/2022 02:27",18.6
"5/27/2022 02:57",18.1
"5/27/2022 03:27",17.6
"5/27/2022 03:57",17.1
"5/27/2022 04:27",17.1
"5/27/2022 04:57",17.1
"5/27/2022 05:27",17.1
"5/27/2022 05:57",17.1
"5/27/2022 06:27",17.1
"5/27/2022 06:57",17.6
"5/27/2022 07:27",17.6
"5/27/2022 07:57",18.1
"5/27/2022 08:27",18.1
"5/27/2022 08:57",18.6
"5/27/2022 09:27",18.6
"5/27/2022 09:57",19.1
"5/27/2022 10:27",19.1
"5/27/2022 10:57",19.6
"5/27/2022 11:27",20.1
"5/27/2022 11:57",20.6
"5/27/2022 12:27",21.6
"5/27/2022 12:57",22.1
"5/27/2022 13:27",23.1
"5/27/2022 13:57",23.1
"5/27/2022 14:27",23.6
"5/27/2022 14:57",23.1
"5/27/2022 15:27",23.1
"5/27/2022 15:57",23.1
"5/27/2022 16:27",22.6
"5/27/2022 16:57",22.6
"5/27/2022 17:27",22.6
"5/27/2022 17:57",22.6
"5/27/2022 18:27",22.1
"5/27/2022 18:57",22.1
"5/27/2022 19:27",21.6
"5/27/2022 19:57",21.6
"5/27/2022 20:27",21.1
"5/27/2022 20:57",21.1
"5/27/2022 21:27",20.6
"5/27/2022 21:57",20.6
"5/27/2022 22:27",20.6
"5/27/2022 22:57",21.1
"5/27/2022 23:27",21.1
"5/27/2022 23:57",21.1
"5/28/2022 00:27",21.1
"5/28/2022 00:57",20.6
"5/28/2022 01:27",19.6
"5/28/2022 01:57",19.6
"5/28/2022 02:27",18.6
"5/28/2022 02:57",18.6
"5/28/2022 03:27",18.1
"5/28/2022 03:57",18.1
"5/28/2022 04:27",18.1
"5/28/2022 04:57",18.1
"5/28/2022 05:27",18.1
"5/28/2022 05:57",18.1
"5/28/2022 06:27",17.6
"5/28/2022 06:57",18.1
"5/28/2022 07:27",18.1
"5/28/2022 07:57",18.6
"5/28/2022 08:27",19.6
"5/28/2022 08:57",19.6
"5/28/2022 09:27",21.1
"5/28/2022 09:57",21.6
"5/28/2022 10:27",22.6
"5/28/2022 10:57",19.1
"5/28/2022 11:27",17.6
"5/28/2022 11:57",16.1
"5/28/2022 12:27",15.1
"5/28/2022 12:57",15.6
"5/28/2022 13:27",15.6
"5/28/2022 13:57",16.1
"5/28/2022 14:27",16.6
"5/28/2022 14:57",16.6
"5/28/2022 15:27",16.6
"5/28/2022 15:57",17.6
"5/28/2022 16:27",17.6
"5/28/2022 16:57",16.6
"5/28/2022 17:27",16.6
"5/28/2022 17:57",16.6
"5/28/2022 18:27",16.1
"5/28/2022 18:57",15.6
"5/28/2022 19:27",15.6
"5/28/2022 19:57",15.1
"5/28/2022 20:27",14.6
"5/28/2022 20:57",14.6
"5/28/2022 21:27",14.1
"5/28/2022 21:57",14.1
"5/28/2022 22:27",13.1
"5/28/2022 22:57",13.1
"5/28/2022 23:27",12.6
"5/28/2022 23:57",12.1
"5/29/2022 00:27",12.1
"5/29/2022 00:57",12.1
"5/29/2022 01:27",12.1
"5/29/2022 01:57",12.1
"5/29/2022 02:27",12.1
"5/29/2022 02:57",12.1
"5/29/2022 03:27",12.1
"5/29/2022 03:57",12.1
"5/29/2022 04:27",12.1
"5/29/2022 04:57",11.6
"5/29/2022 05:27",11.6
"5/29/2022 05:57",11.6
"5/29/2022 06:27",12.1
"5/29/2022 06:57",12.6
"5/29/2022 07:27",13.1
"5/29/2022 07:57",13.6
"5/29/2022 08:27",14.6
"5/29/2022 08:57",15.6
"5/29/2022 09:27",17.1
"5/29/2022 09:57",18.6
"5/29/2022 10:27",19.1
"5/29/2022 10:57",19.6
"5/29/2022 11:27",20.6
"5/29/2022 11:57",21.1
"5/29/2022 12:27",21.6
"5/29/2022 12:57",21.6
"5/29/2022 13:27",26.1
"5/29/2022 13:57",24.1
"5/29/2022 14:27",23.1
"5/29/2022 14:57",23.1
"5/29/2022 15:27",23.6
"5/29/2022 15:57",23.1
"5/29/2022 16:27",23.1
"5/29/2022 16:57",23.1
"5/29/2022 17:27",22.6
"5/29/2022 17:57",22.1
"5/29/2022 18:27",21.6
"5/29/2022 18:57",21.1
"5/29/2022 19:27",20.6
"5/29/2022 19:57",20.1
"5/29/2022 20:27",19.6
"5/29/2022 20:57",19.1
"5/29/2022 21:27",18.6
"5/29/2022 21:57",18.6
"5/29/2022 22:27",18.1
"5/29/2022 22:57",17.6
"5/29/2022 23:27",17.1
"5/29/2022 23:57",17.1
"5/30/2022 00:27",16.6
"5/30/2022 00:57",16.6
"5/30/2022 01:27",16.1
"5/30/2022 01:57",15.6
"5/30/2022 02:27",15.1
"5/30/2022 02:57",14.6
"5/30/2022 03:27",14.6
"5/30/2022 03:57",14.1
"5/30/2022 04:27",14.1
"5/30/2022 04:57",13.6
"5/30/2022 05:27",13.1
"5/30/2022 05:57",13.1
"5/30/2022 06:27",13.1
"5/30/2022 06:57",13.6
"5/30/2022 07:27",14.1
"5/30/2022 07:57",15.1
"5/30/2022 08:27",16.6
"5/30/2022 08:57",18.1
"5/30/2022 09:27",19.6
"5/30/2022 09:57",19.6
"5/30/2022 10:27",20.1
"5/30/2022 10:57",21.6
"5/30/2022 11:27",22.6
"5/30/2022 11:57",23.1
"5/30/2022 12:27",25.1
"5/30/2022 12:57",25.1
"5/30/2022 13:27",26.1
"5/30/2022 13:57",25.6
"5/30/2022 14:27",26.1
"5/30/2022 14:57",26.1
"5/30/2022 15:27",26.1
"5/30/2022 15:57",26.1
"5/30/2022 16:27",25.6
"5/30/2022 16:57",25.6
"5/30/2022 17:27",25.1
"5/30/2022 17:57",25.1
"5/30/2022 18:27",24.6
"5/30/2022 18:57",24.1
"5/30/2022 19:27",24.1
"5/30/2022 19:57",23.6
"5/30/2022 20:27",23.1
"5/30/2022 20:57",22.6
"5/30/2022 21:27",22.6
"5/30/2022 21:57",22.1
"5/30/2022 22:27",22.1
"5/30/2022 22:57",21.6
"5/30/2022 23:27",21.1
"5/30/2022 23:57",21.1
"5/31/2022 00:27",20.6
"5/31/2022 00:57",20.1
"5/31/2022 01:27",20.1
"5/31/2022 01:57",19.6
"5/31/2022 02:27",19.6
"5/31/2022 02:57",20.1
"5/31/2022 03:27",20.1
"5/31/2022 03:57",20.6
"5/31/2022 04:27",20.6
"5/31/2022 04:57",20.6
"5/31/2022 05:27",20.6
"5/31/2022 05:57",20.6
"5/31/2022 06:27",20.6
"5/31/2022 06:57",20.6
"5/31/2022 07:27",20.6
"5/31/2022 07:57",20.6
"5/31/2022 08:27",21.1
"5/31/2022 08:57",21.1
"5/31/2022 09:27",20.6
"5/31/2022 09:57",21.1
"5/31/2022 10:27",20.6
"5/31/2022 10:57",20.6
