,7/2/2022
Timezone,-4
,
Serial No.,2D00000078E1C541
Location:,Jericho_5_1_1U
High temperature limit (°C),40.05
Low temperature limit (°C),-41.35
Date - Time,Temperature (°C)
5/26/2022 12:38,19.6
5/26/2022 13:08,18.6
5/26/2022 13:38,22.6
5/26/2022 14:08,22.6
5/26/2022 14:38,22.1
5/26/2022 15:08,21.6
5/26/2022 15:38,22.6
5/26/2022 16:08,22.1
5/26/2022 16:38,22.1
5/26/2022 17:08,22.6
5/26/2022 17:38,21.6
5/26/2022 18:08,22.1
5/26/2022 18:38,21.6
5/26/2022 19:08,21.1
5/26/2022 19:38,20.6
5/26/2022 20:08,20.6
5/26/2022 20:38,20.1
5/26/2022 21:08,19.6
5/26/2022 21:38,19.6
5/26/2022 22:08,19.1
5/26/2022 22:38,19.1
5/26/2022 23:08,18.6
5/26/2022 23:38,18.6
5/27/2022 0:08,18.6
5/27/2022 0:38,18.6
5/27/2022 1:08,18.6
5/27/2022 1:38,18.6
5/27/2022 2:08,18.6
5/27/2022 2:38,18.6
5/27/2022 3:08,18.1
5/27/2022 3:38,17.1
5/27/2022 4:08,16.6
5/27/2022 4:38,16.6
5/27/2022 5:08,16.6
5/27/2022 5:38,16.6
5/27/2022 6:08,16.6
5/27/2022 6:38,17.1
5/27/2022 7:08,17.1
5/27/2022 7:38,18.1
5/27/2022 8:08,18.1
5/27/2022 8:38,18.1
5/27/2022 9:08,18.6
5/27/2022 9:38,19.1
5/27/2022 10:08,19.1
5/27/2022 10:38,19.6
5/27/2022 11:08,19.6
5/27/2022 11:38,20.6
5/27/2022 12:08,21.1
5/27/2022 12:38,22.1
5/27/2022 13:08,22.6
5/27/2022 13:38,23.1
5/27/2022 14:08,23.6
5/27/2022 14:38,23.6
5/27/2022 15:08,23.6
5/27/2022 15:38,23.1
5/27/2022 16:08,23.1
5/27/2022 16:38,23.1
5/27/2022 17:08,23.1
5/27/2022 17:38,23.1
5/27/2022 18:08,22.6
5/27/2022 18:38,22.1
5/27/2022 19:08,22.1
5/27/2022 19:38,22.1
5/27/2022 20:08,21.6
5/27/2022 20:38,21.1
5/27/2022 21:08,20.6
5/27/2022 21:38,21.6
5/27/2022 22:08,21.6
5/27/2022 22:38,21.6
5/27/2022 23:08,21.6
5/27/2022 23:38,21.6
5/28/2022 0:08,21.1
5/28/2022 0:38,21.1
5/28/2022 1:08,20.1
5/28/2022 1:38,19.6
5/28/2022 2:08,19.1
5/28/2022 2:38,18.6
5/28/2022 3:08,18.6
5/28/2022 3:38,18.1
5/28/2022 4:08,18.1
5/28/2022 4:38,18.1
5/28/2022 5:08,18.1
5/28/2022 5:38,18.1
5/28/2022 6:08,17.6
5/28/2022 6:38,17.6
5/28/2022 7:08,18.1
5/28/2022 7:38,18.1
5/28/2022 8:08,18.6
5/28/2022 8:38,19.1
5/28/2022 9:08,19.6
5/28/2022 9:38,20.1
5/28/2022 10:08,20.6
5/28/2022 10:38,20.6
5/28/2022 11:08,18.6
5/28/2022 11:38,16.6
5/28/2022 12:08,14.6
5/28/2022 12:38,15.1
5/28/2022 13:08,15.1
5/28/2022 13:38,15.6
5/28/2022 14:08,16.6
5/28/2022 14:38,16.6
5/28/2022 15:08,17.1
5/28/2022 15:38,17.1
5/28/2022 16:08,17.1
5/28/2022 16:38,16.6
5/28/2022 17:08,17.1
5/28/2022 17:38,16.6
5/28/2022 18:08,16.6
5/28/2022 18:38,16.6
5/28/2022 19:08,15.6
5/28/2022 19:38,15.6
5/28/2022 20:08,15.1
5/28/2022 20:38,15.1
5/28/2022 21:08,14.6
5/28/2022 21:38,14.1
5/28/2022 22:08,14.1
5/28/2022 22:38,13.1
5/28/2022 23:08,12.6
5/28/2022 23:38,12.1
5/29/2022 0:08,12.1
5/29/2022 0:38,11.6
5/29/2022 1:08,11.6
5/29/2022 1:38,11.6
5/29/2022 2:08,11.6
5/29/2022 2:38,11.6
5/29/2022 3:08,11.6
5/29/2022 3:38,11.6
5/29/2022 4:08,11.6
5/29/2022 4:38,11.6
5/29/2022 5:08,11.6
5/29/2022 5:38,11.6
5/29/2022 6:08,11.1
5/29/2022 6:38,11.1
5/29/2022 7:08,11.6
5/29/2022 7:38,12.1
5/29/2022 8:08,13.1
5/29/2022 8:38,14.1
5/29/2022 9:08,15.1
5/29/2022 9:38,16.1
5/29/2022 10:08,17.6
5/29/2022 10:38,18.6
5/29/2022 11:08,19.6
5/29/2022 11:38,21.6
5/29/2022 12:08,22.1
5/29/2022 12:38,22.1
5/29/2022 13:08,22.1
5/29/2022 13:38,23.1
5/29/2022 14:08,23.6
5/29/2022 14:38,23.6
5/29/2022 15:08,24.6
5/29/2022 15:38,24.1
5/29/2022 16:08,24.1
5/29/2022 16:38,23.6
5/29/2022 17:08,23.6
5/29/2022 17:38,22.6
5/29/2022 18:08,22.6
5/29/2022 18:38,22.1
5/29/2022 19:08,21.6
5/29/2022 19:38,21.1
5/29/2022 20:08,20.6
5/29/2022 20:38,19.6
5/29/2022 21:08,19.1
5/29/2022 21:38,18.6
5/29/2022 22:08,18.6
5/29/2022 22:38,18.1
5/29/2022 23:08,17.1
5/29/2022 23:38,17.1
5/30/2022 0:08,17.1
5/30/2022 0:38,16.1
5/30/2022 1:08,15.6
5/30/2022 1:38,15.1
5/30/2022 2:08,14.6
5/30/2022 2:38,14.1
5/30/2022 3:08,13.6
5/30/2022 3:38,13.6
5/30/2022 4:08,13.1
5/30/2022 4:38,13.1
5/30/2022 5:08,12.6
5/30/2022 5:38,12.6
5/30/2022 6:08,12.1
5/30/2022 6:38,12.1
5/30/2022 7:08,12.6
5/30/2022 7:38,13.1
5/30/2022 8:08,14.6
5/30/2022 8:38,16.1
5/30/2022 9:08,17.6
5/30/2022 9:38,19.1
5/30/2022 10:08,18.6
5/30/2022 10:38,20.6
5/30/2022 11:08,21.6
5/30/2022 11:38,23.1
5/30/2022 12:08,24.1
5/30/2022 12:38,24.6
5/30/2022 13:08,25.6
5/30/2022 13:38,25.6
5/30/2022 14:08,26.1
5/30/2022 14:38,26.6
5/30/2022 15:08,27.1
5/30/2022 15:38,26.6
5/30/2022 16:08,26.6
5/30/2022 16:38,26.1
5/30/2022 17:08,26.6
5/30/2022 17:38,26.1
5/30/2022 18:08,25.6
5/30/2022 18:38,25.6
5/30/2022 19:08,25.1
5/30/2022 19:38,25.1
5/30/2022 20:08,23.6
5/30/2022 20:38,23.1
5/30/2022 21:08,23.1
5/30/2022 21:38,22.6
5/30/2022 22:08,22.1
5/30/2022 22:38,22.1
5/30/2022 23:08,21.1
5/30/2022 23:38,20.6
5/31/2022 0:08,20.6
5/31/2022 0:38,20.1
5/31/2022 1:08,19.6
5/31/2022 1:38,19.6
5/31/2022 2:08,19.1
5/31/2022 2:38,19.6
5/31/2022 3:08,21.1
5/31/2022 3:38,21.1
5/31/2022 4:08,21.6
5/31/2022 4:38,21.6
5/31/2022 5:08,21.6
5/31/2022 5:38,21.6
5/31/2022 6:08,20.6
5/31/2022 6:38,19.6
5/31/2022 7:08,19.6
5/31/2022 7:38,19.6
5/31/2022 8:08,20.1
5/31/2022 8:38,20.1
5/31/2022 9:08,20.1
5/31/2022 9:38,19.6
5/31/2022 10:08,20.1
5/31/2022 10:38,19.6
5/31/2022 11:08,20.1
5/31/2022 11:38,21.6
5/31/2022 12:08,22.1
5/31/2022 12:38,23.1
5/31/2022 13:08,23.1
5/31/2022 13:38,23.6
5/31/2022 14:08,23.6
5/31/2022 14:38,23.1
5/31/2022 15:08,23.1
5/31/2022 15:38,23.1
5/31/2022 16:08,23.1
5/31/2022 16:38,22.6
