DateTime,TemperatureC,Group,Tempc
2/23/2022 14:47,8.6,Site_5_1_4_D_May_8.csv,8.6
2/23/2022 15:17,7.6,Site_5_1_4_D_May_8.csv,7.6
2/23/2022 15:47,1.1,Site_5_1_4_D_May_8.csv,1.1
2/23/2022 16:17,0,Site_5_1_4_D_May_8.csv,0
2/23/2022 16:47,-1,Site_5_1_4_D_May_8.csv,-1
2/23/2022 17:17,-3,Site_5_1_4_D_May_8.csv,-3
2/23/2022 17:47,-3.5,Site_5_1_4_D_May_8.csv,-3.5
2/23/2022 18:17,-4.5,Site_5_1_4_D_May_8.csv,-4.5
2/23/2022 18:47,-5,Site_5_1_4_D_May_8.csv,-5
2/23/2022 19:17,-5.5,Site_5_1_4_D_May_8.csv,-5.5
2/23/2022 19:47,-6,Site_5_1_4_D_May_8.csv,-6
2/23/2022 20:17,-7,Site_5_1_4_D_May_8.csv,-7
2/23/2022 20:47,-7.5,Site_5_1_4_D_May_8.csv,-7.5
2/23/2022 21:17,-8.5,Site_5_1_4_D_May_8.csv,-8.5
2/23/2022 21:47,-9.5,Site_5_1_4_D_May_8.csv,-9.5
2/23/2022 22:17,-9.5,Site_5_1_4_D_May_8.csv,-9.5
2/23/2022 22:47,-10,Site_5_1_4_D_May_8.csv,-10
2/23/2022 23:17,-10.5,Site_5_1_4_D_May_8.csv,-10.5
2/23/2022 23:47,-11.1,Site_5_1_4_D_May_8.csv,-11.1
2/24/2022 0:17,-11.1,Site_5_1_4_D_May_8.csv,-11.1
2/24/2022 0:47,-11.1,Site_5_1_4_D_May_8.csv,-11.1
2/24/2022 1:17,-11.1,Site_5_1_4_D_May_8.csv,-11.1
2/24/2022 1:47,-11.6,Site_5_1_4_D_May_8.csv,-11.6
2/24/2022 2:17,-11.6,Site_5_1_4_D_May_8.csv,-11.6
2/24/2022 2:47,-12.1,Site_5_1_4_D_May_8.csv,-12.1
2/24/2022 3:17,-12.1,Site_5_1_4_D_May_8.csv,-12.1
2/24/2022 3:47,-12.6,Site_5_1_4_D_May_8.csv,-12.6
2/24/2022 4:17,-12.6,Site_5_1_4_D_May_8.csv,-12.6
2/24/2022 4:47,-12.6,Site_5_1_4_D_May_8.csv,-12.6
2/24/2022 5:17,-13.1,Site_5_1_4_D_May_8.csv,-13.1
2/24/2022 5:47,-13.1,Site_5_1_4_D_May_8.csv,-13.1
2/24/2022 6:17,-13.6,Site_5_1_4_D_May_8.csv,-13.6
2/24/2022 6:47,-13.6,Site_5_1_4_D_May_8.csv,-13.6
2/24/2022 7:17,-13.6,Site_5_1_4_D_May_8.csv,-13.6
2/24/2022 7:47,-13.6,Site_5_1_4_D_May_8.csv,-13.6
2/24/2022 8:17,-13.1,Site_5_1_4_D_May_8.csv,-13.1
2/24/2022 8:47,-12.6,Site_5_1_4_D_May_8.csv,-12.6
2/24/2022 9:17,-12.1,Site_5_1_4_D_May_8.csv,-12.1
2/24/2022 9:47,-10.5,Site_5_1_4_D_May_8.csv,-10.5
2/24/2022 10:17,-8.5,Site_5_1_4_D_May_8.csv,-8.5
2/24/2022 10:47,-6.5,Site_5_1_4_D_May_8.csv,-6.5
2/24/2022 11:17,-5.5,Site_5_1_4_D_May_8.csv,-5.5
2/24/2022 11:47,-3,Site_5_1_4_D_May_8.csv,-3
