SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,X
1,11/30/2021,17:22:52,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.5,1
2,11/30/2021,17:22:54,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.5,1
3,11/30/2021,17:22:56,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
4,11/30/2021,17:22:59,4.4,4.5,4.6,4.6,4.5,4.7,4.6,4.5,1
5,11/30/2021,17:23:01,4.5,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
6,11/30/2021,17:23:03,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
7,11/30/2021,17:23:05,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
8,11/30/2021,17:23:07,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
9,11/30/2021,17:23:09,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
10,11/30/2021,17:23:11,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
11,11/30/2021,17:23:13,4.4,4.5,4.6,4.6,4.5,4.7,4.7,4.5,1
12,11/30/2021,17:23:16,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
13,11/30/2021,17:23:18,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
14,11/30/2021,17:23:20,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
15,11/30/2021,17:23:22,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
16,11/30/2021,17:23:24,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
17,11/30/2021,17:23:26,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
18,11/30/2021,17:23:28,4.5,4.6,4.7,4.7,4.6,4.8,4.7,4.6,1
19,11/30/2021,17:23:30,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
20,11/30/2021,17:23:33,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
21,11/30/2021,17:23:35,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
22,11/30/2021,17:23:37,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.5,1
23,11/30/2021,17:23:39,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
24,11/30/2021,17:23:41,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.5,1
25,11/30/2021,17:23:43,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.6,1
26,11/30/2021,17:23:45,4.5,4.5,4.7,4.7,4.6,4.8,4.7,4.5,1
