No.,Data,Time,ID.,CH 1,Type,Unit,CH 2,Type,Unit
1,11/17/2021,16:20:34,0,1.3,K,Deg-C,-0.6,K,Deg-C
2,11/17/2021,16:20:35,0,1.2,K,Deg-C,-0.6,K,Deg-C
3,11/17/2021,16:20:36,0,1.1,K,Deg-C,-0.6,K,Deg-C
4,11/17/2021,16:20:37,0,1,K,Deg-C,-0.6,K,Deg-C
5,11/17/2021,16:20:38,0,1,K,Deg-C,-0.7,K,Deg-C
6,11/17/2021,16:20:39,0,1,K,Deg-C,-0.7,K,Deg-C
7,11/17/2021,16:20:40,0,1,K,Deg-C,-0.7,K,Deg-C
8,11/17/2021,16:20:41,0,0.9,K,Deg-C,-0.7,K,Deg-C
9,11/17/2021,16:20:42,0,0.8,K,Deg-C,-0.7,K,Deg-C
10,11/17/2021,16:20:43,0,0.8,K,Deg-C,-0.8,K,Deg-C
11,11/17/2021,16:20:44,0,0.8,K,Deg-C,-0.8,K,Deg-C
12,11/17/2021,16:20:45,0,0.8,K,Deg-C,-0.8,K,Deg-C
13,11/17/2021,16:20:46,0,0.7,K,Deg-C,-0.8,K,Deg-C
14,11/17/2021,16:20:47,0,0.7,K,Deg-C,-0.8,K,Deg-C
15,11/17/2021,16:20:48,0,0.6,K,Deg-C,-0.8,K,Deg-C
16,11/17/2021,16:20:49,0,0.6,K,Deg-C,-0.8,K,Deg-C
17,11/17/2021,16:20:50,0,0.6,K,Deg-C,-0.8,K,Deg-C
18,11/17/2021,16:20:51,0,0.5,K,Deg-C,-0.8,K,Deg-C
19,11/17/2021,16:20:52,0,0.5,K,Deg-C,-0.8,K,Deg-C
20,11/17/2021,16:20:53,0,0.5,K,Deg-C,-0.8,K,Deg-C
21,11/17/2021,16:20:54,0,0.5,K,Deg-C,-0.8,K,Deg-C
22,11/17/2021,16:20:55,0,0.5,K,Deg-C,-0.8,K,Deg-C
23,11/17/2021,16:20:56,0,0.4,K,Deg-C,-0.8,K,Deg-C
24,11/17/2021,16:20:57,0,0.4,K,Deg-C,-0.8,K,Deg-C
25,11/17/2021,16:20:58,0,0.4,K,Deg-C,-0.8,K,Deg-C
26,11/17/2021,16:20:59,0,0.4,K,Deg-C,-0.8,K,Deg-C
27,11/17/2021,16:21:00,0,0.4,K,Deg-C,-0.8,K,Deg-C
28,11/17/2021,16:21:01,0,0.3,K,Deg-C,-0.8,K,Deg-C
29,11/17/2021,16:21:02,0,0.3,K,Deg-C,-0.8,K,Deg-C
30,11/17/2021,16:21:03,0,0.3,K,Deg-C,-0.8,K,Deg-C
31,11/17/2021,16:21:04,0,0.3,K,Deg-C,-0.8,K,Deg-C
32,11/17/2021,16:21:05,0,0.3,K,Deg-C,-0.8,K,Deg-C
33,11/17/2021,16:21:06,0,0.3,K,Deg-C,-0.8,K,Deg-C
34,11/17/2021,16:21:07,0,0.3,K,Deg-C,-0.8,K,Deg-C
35,11/17/2021,16:21:08,0,0.3,K,Deg-C,-0.7,K,Deg-C
36,11/17/2021,16:21:09,0,0.3,K,Deg-C,-0.7,K,Deg-C
37,11/17/2021,16:21:10,0,0.3,K,Deg-C,-0.7,K,Deg-C
38,11/17/2021,16:21:11,0,0.3,K,Deg-C,-0.7,K,Deg-C
39,11/17/2021,16:21:12,0,0.2,K,Deg-C,-0.7,K,Deg-C
40,11/17/2021,16:21:13,0,0.2,K,Deg-C,-0.7,K,Deg-C
41,11/17/2021,16:21:14,0,0.3,K,Deg-C,-0.7,K,Deg-C
42,11/17/2021,16:21:15,0,0.3,K,Deg-C,-0.7,K,Deg-C
43,11/17/2021,16:21:16,0,0.2,K,Deg-C,-0.7,K,Deg-C
44,11/17/2021,16:21:17,0,0.2,K,Deg-C,-0.7,K,Deg-C
45,11/17/2021,16:21:18,0,0.3,K,Deg-C,-0.6,K,Deg-C
46,11/17/2021,16:21:19,0,0.3,K,Deg-C,-0.6,K,Deg-C
47,11/17/2021,16:21:20,0,0.2,K,Deg-C,-0.6,K,Deg-C
48,11/17/2021,16:21:21,0,0.3,K,Deg-C,-0.6,K,Deg-C
49,11/17/2021,16:21:22,0,0.3,K,Deg-C,-0.6,K,Deg-C
50,11/17/2021,16:21:23,0,0.2,K,Deg-C,-0.6,K,Deg-C
51,11/17/2021,16:21:24,0,0.2,K,Deg-C,-0.6,K,Deg-C
52,11/17/2021,16:21:25,0,0.2,K,Deg-C,-0.6,K,Deg-C
53,11/17/2021,16:21:26,0,0.2,K,Deg-C,-0.6,K,Deg-C
54,11/17/2021,16:21:27,0,0.2,K,Deg-C,-0.6,K,Deg-C
55,11/17/2021,16:21:28,0,0.2,K,Deg-C,-0.6,K,Deg-C
56,11/17/2021,16:21:29,0,0.2,K,Deg-C,-0.6,K,Deg-C
57,11/17/2021,16:21:30,0,0.2,K,Deg-C,-0.6,K,Deg-C
58,11/17/2021,16:21:31,0,0.2,K,Deg-C,-0.6,K,Deg-C
59,11/17/2021,16:21:32,0,0.2,K,Deg-C,-0.6,K,Deg-C
60,11/17/2021,16:21:33,0,0.2,K,Deg-C,-0.5,K,Deg-C
61,11/17/2021,16:21:34,0,0.2,K,Deg-C,-0.5,K,Deg-C
62,11/17/2021,16:21:35,0,0.2,K,Deg-C,-0.5,K,Deg-C
63,11/17/2021,16:21:36,0,0.2,K,Deg-C,-0.5,K,Deg-C
64,11/17/2021,16:21:37,0,0.2,K,Deg-C,-0.5,K,Deg-C
65,11/17/2021,16:21:38,0,0.2,K,Deg-C,-0.5,K,Deg-C
66,11/17/2021,16:21:39,0,0.2,K,Deg-C,-0.5,K,Deg-C
67,11/17/2021,16:21:40,0,0.2,K,Deg-C,-0.5,K,Deg-C
68,11/17/2021,16:21:41,0,0.2,K,Deg-C,-0.5,K,Deg-C
69,11/17/2021,16:21:42,0,0.2,K,Deg-C,-0.6,K,Deg-C
