SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,Group
1,5/5/2022,18:29:38,22,21.7,21.5,21.8,21.7,22.5,21.8,21.7,2_U
2,5/5/2022,18:29:40,20.2,19.4,19.5,20,19.9,21.6,19.1,19.5,2_U
3,5/5/2022,18:29:43,17.8,16.7,17.4,17.7,17.3,19.9,15.5,16.8,2_U
4,5/5/2022,18:29:45,16.1,15,15.9,16.2,15.7,18.7,13.3,15,2_U
5,5/5/2022,18:29:47,14.7,13.7,14.8,14.9,14.4,17.6,11.8,13.7,2_U
6,5/5/2022,18:29:49,13.4,12.6,13.7,13.8,13.4,16.6,10.6,12.6,2_U
7,5/5/2022,18:29:51,12.3,11.6,12.8,12.9,12.5,15.7,9.6,11.7,2_U
8,5/5/2022,18:29:53,11.4,10.9,12,12.1,11.6,14.8,8.8,10.9,2_U
9,5/5/2022,18:29:55,10.6,10.3,11.3,11.4,10.9,14.1,8.3,10.3,2_U
10,5/5/2022,18:29:57,10,9.8,10.6,10.8,10.3,13.4,7.7,9.7,2_U
11,5/5/2022,18:30:00,9.3,9.2,9.8,10.1,9.6,12.6,7.1,9.1,2_U
12,5/5/2022,18:30:02,8.8,8.7,9.3,9.7,9.1,12,6.8,8.7,2_U
13,5/5/2022,18:30:04,8.4,8.4,8.9,9.3,8.8,11.5,6.5,8.4,2_U
14,5/5/2022,18:30:06,8.1,8.1,8.5,9,8.4,11.1,6.2,8.2,2_U
15,5/5/2022,18:30:08,7.8,7.9,8.1,8.7,8.1,10.7,6.2,8,2_U
16,5/5/2022,18:30:10,7.6,7.6,7.8,8.4,7.8,10.4,6,7.8,2_U
17,5/5/2022,18:30:12,7.4,7.4,7.6,8.2,7.6,10.1,5.8,7.6,2_U
18,5/5/2022,18:30:14,7.2,7.3,7.4,8,7.4,9.9,5.9,7.5,2_U
19,5/5/2022,18:30:17,7,7.1,7.1,7.7,7.1,9.6,5.6,7.3,2_U
20,5/5/2022,18:30:19,6.9,6.9,6.9,7.6,6.9,9.3,5.6,7.2,2_U
21,5/5/2022,18:30:21,6.7,6.9,6.8,7.5,6.8,9.2,5.6,7.1,2_U
22,5/5/2022,18:30:23,6.7,6.8,6.6,7.4,6.7,9,5.6,7,2_U
23,5/5/2022,18:30:25,6.6,6.7,6.5,7.2,6.6,8.9,5.7,7,2_U
24,5/5/2022,18:30:27,6.5,6.6,6.3,7.2,6.5,8.8,5.6,6.9,2_U
25,5/5/2022,18:30:29,6.4,6.5,6.3,7.1,6.4,8.7,5.6,6.8,2_U
26,5/5/2022,18:30:31,6.3,6.5,6.2,7,6.3,8.5,5.6,6.8,2_U
27,5/5/2022,18:30:34,6.3,6.3,6.1,6.8,6.2,8.4,5.6,6.7,2_U
28,5/5/2022,18:30:36,6.2,6.3,6,6.8,6.1,8.3,5.5,6.6,2_U
29,5/5/2022,18:30:38,6.1,6.2,5.9,6.7,6,8.2,5.5,6.5,2_U
30,5/5/2022,18:30:40,6.1,6.2,5.9,6.6,6,8.1,5.5,6.4,2_U
31,5/5/2022,18:30:42,6,6.2,5.9,6.6,6,8,5.5,6.3,2_U
32,5/5/2022,18:30:44,6,6.2,5.8,6.5,6,7.9,5.4,6.2,2_U
33,5/5/2022,18:30:46,6,6.2,5.7,6.5,6,7.8,5.4,6.1,2_U
34,5/5/2022,18:30:48,6,6.2,5.7,6.5,6,7.7,5.4,6.1,2_U
35,5/5/2022,18:30:51,6,6.2,5.7,6.5,6,7.6,5.3,6,2_U
36,5/5/2022,18:30:53,6,6.2,5.8,6.6,6,7.6,5.3,5.9,2_U
37,5/5/2022,18:30:55,6,6.2,5.8,6.6,6,7.5,5.3,5.9,2_U
38,5/5/2022,18:30:57,6,6.2,5.7,6.7,6,7.5,5.3,5.8,2_U
39,5/5/2022,18:30:59,6,6.2,5.7,6.7,6,7.4,5.2,5.8,2_U
40,5/5/2022,18:31:01,6,6.1,5.7,6.8,5.9,7.4,5.2,5.7,2_U
41,5/5/2022,18:31:03,6,6.1,5.6,6.8,5.9,7.3,5.2,5.7,2_U
42,5/5/2022,18:31:05,6,6,5.6,6.8,5.9,7.3,5.1,5.6,2_U
43,5/5/2022,18:31:08,5.9,5.9,5.6,6.7,5.9,7.2,5.2,5.6,2_U
44,5/5/2022,18:31:10,5.9,5.9,5.7,6.8,5.8,7.2,5.2,5.6,2_U
45,5/5/2022,18:31:12,5.8,5.9,5.7,6.8,5.8,7.2,5.2,5.6,2_U
46,5/5/2022,18:31:14,5.8,5.9,5.7,6.8,5.9,7.1,5.1,5.6,2_U
47,5/5/2022,18:31:16,5.8,5.9,5.7,6.8,5.9,7.1,5.2,5.5,2_U
48,5/5/2022,18:31:18,5.8,6,5.6,6.8,5.8,7,5.2,5.5,2_U
49,5/5/2022,18:31:20,5.7,6,5.6,6.8,5.8,7,5.1,5.5,2_U
50,5/5/2022,18:31:22,5.7,6.1,5.5,6.7,5.8,6.9,5.1,5.5,2_U
51,5/5/2022,18:31:25,5.7,6.1,5.5,6.6,5.8,6.9,5.1,5.4,2_U
52,5/5/2022,18:31:27,5.7,6.1,5.5,6.5,5.8,6.8,5,5.4,2_U
53,5/5/2022,18:31:29,5.6,6,5.4,6.4,5.8,6.8,5.1,5.4,2_U
54,5/5/2022,18:31:31,5.6,6,5.4,6.3,5.8,6.7,5.1,5.4,2_U
55,5/5/2022,18:31:33,5.6,6,5.4,6.3,5.7,6.7,5,5.4,2_U
56,5/5/2022,18:31:35,5.6,5.9,5.4,6.2,5.7,6.7,5,5.4,2_U
57,5/5/2022,18:31:37,5.6,5.9,5.4,6.2,5.7,6.7,4.9,5.3,2_U
58,5/5/2022,18:31:39,5.6,5.8,5.4,6.1,5.6,6.6,5.1,5.3,2_U
59,5/5/2022,18:31:42,5.5,5.8,5.3,6.1,5.6,6.6,4.9,5.3,2_U
60,5/5/2022,18:31:44,5.5,5.8,5.3,6.1,5.6,6.5,5,5.3,2_U
