SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,X
1,12/29/2021,18:08:59,8.6,10.5,8.4,10.7,9.5,11,8.7,8.8,1
2,12/29/2021,18:09:01,7.8,9.7,7.6,9.9,8.6,10.1,8,8,1
3,12/29/2021,18:09:03,7.1,8.8,6.8,9.2,7.8,9.3,7.3,7.2,1
4,12/29/2021,18:09:05,6.6,8.3,6.3,8.5,7.2,8.6,6.8,6.6,1
5,12/29/2021,18:09:07,6.2,7.7,5.8,8,6.7,8,6.4,6.1,1
6,12/29/2021,18:09:09,5.8,7.3,5.5,7.6,6.3,7.5,6,5.7,1
7,12/29/2021,18:09:11,5.5,6.9,5.2,7.2,6,7,5.7,5.4,1
8,12/29/2021,18:09:13,5.2,6.6,4.9,6.8,5.6,6.7,5.5,5.2,1
9,12/29/2021,18:09:15,5.1,6.3,4.7,6.6,5.4,6.4,5.3,5,1
10,12/29/2021,18:09:17,4.9,6,4.5,6.3,5.3,6.2,5.2,4.9,1
11,12/29/2021,18:09:19,4.7,5.8,4.4,6.1,5.1,5.9,5,4.7,1
12,12/29/2021,18:09:21,4.7,5.7,4.3,6,5,5.7,5,4.6,1
13,12/29/2021,18:09:23,4.6,5.4,4.2,5.8,4.8,5.5,4.9,4.6,1
14,12/29/2021,18:09:25,4.5,5.3,4.2,5.7,4.8,5.4,4.8,4.5,1
15,12/29/2021,18:09:27,4.4,5.2,4.1,5.5,4.7,5.2,4.7,4.4,1
16,12/29/2021,18:09:29,4.4,5.1,4,5.4,4.6,5.1,4.7,4.3,1
17,12/29/2021,18:09:31,4.4,5.1,4,5.4,4.6,5,4.6,4.3,1
18,12/29/2021,18:09:33,4.3,5,4,5.3,4.5,5,4.6,4.3,1
19,12/29/2021,18:09:35,4.3,4.9,4,5.2,4.5,4.9,4.6,4.2,1
20,12/29/2021,18:09:37,4.4,4.9,3.9,5.1,4.5,4.9,4.6,4.2,1
21,12/29/2021,18:09:39,4.4,4.9,4,5.1,4.4,4.9,4.5,4.2,1
22,12/29/2021,18:09:41,4.5,4.9,4,5,4.4,4.8,4.5,4.2,1
23,12/29/2021,18:09:43,4.5,4.8,3.9,5,4.4,4.7,4.5,4.2,1
24,12/29/2021,18:09:45,4.5,4.8,3.9,5,4.4,4.7,4.5,4.2,1
25,12/29/2021,18:09:47,4.5,4.8,3.9,5,4.4,4.7,4.5,4.2,1
26,12/29/2021,18:09:49,4.5,4.8,3.9,4.9,4.4,4.6,4.5,4.2,1
27,12/29/2021,18:09:51,4.4,4.7,3.9,4.9,4.4,4.6,4.5,4.2,1
28,12/29/2021,18:09:53,4.4,4.7,3.9,4.8,4.4,4.6,4.6,4.2,1
29,12/29/2021,18:09:55,4.4,4.7,4,4.8,4.4,4.6,4.6,4.1,1
30,12/29/2021,18:09:57,4.4,4.7,3.9,4.8,4.4,4.6,4.6,4.1,1
31,12/29/2021,18:09:59,4.3,4.6,4,4.8,4.3,4.5,4.6,4.1,1
32,12/29/2021,18:10:01,4.3,4.6,4,4.8,4.3,4.5,4.6,4.2,1
33,12/29/2021,18:10:03,4.3,4.6,4,4.8,4.3,4.5,4.6,4.1,1
34,12/29/2021,18:10:05,4.3,4.5,4,4.7,4.3,4.5,4.6,4.1,1
35,12/29/2021,18:10:07,4.3,4.6,4,4.7,4.3,4.5,4.6,4.1,1
36,12/29/2021,18:10:09,4.2,4.5,4,4.7,4.3,4.4,4.5,4.1,1
37,12/29/2021,18:10:11,4.2,4.5,4,4.7,4.3,4.4,4.5,4.1,1
38,12/29/2021,18:10:13,4.2,4.5,4,4.6,4.3,4.4,4.5,4.1,1
39,12/29/2021,18:10:15,4.2,4.5,4,4.7,4.3,4.4,4.5,4.1,1
40,12/29/2021,18:10:17,4.2,4.5,4,4.6,4.3,4.4,4.5,4.1,1
41,12/29/2021,18:10:19,4.2,4.4,4,4.6,4.3,4.4,4.5,4.1,1
42,12/29/2021,18:10:21,4.2,4.5,4,4.6,4.3,4.4,4.5,4.1,1
43,12/29/2021,18:10:23,4.3,4.5,4.1,4.7,4.4,4.4,4.5,4.2,1
44,12/29/2021,18:10:25,4.3,4.5,4.1,4.7,4.4,4.4,4.5,4.2,1
45,12/29/2021,18:10:27,4.3,4.5,4.1,4.7,4.4,4.4,4.5,4.2,1
46,12/29/2021,18:10:29,4.3,4.5,4.1,4.6,4.4,4.4,4.5,4.2,1
