SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,X
1,12/30/2021,15:28:22,-22.3,-22.2,-21.8,-21.9,-21.5,-21.3,-21.3,-21.3,1
2,12/30/2021,15:28:24,-22.3,-22.2,-21.8,-22,-21.4,-21.4,-21.3,-21.2,1
3,12/30/2021,15:28:26,-22.3,-22.1,-21.8,-22,-21.4,-21.3,-21.2,-21.3,1
4,12/30/2021,15:28:28,-22.3,-22.1,-21.8,-22,-21.4,-21.4,-21.2,-21.2,1
5,12/30/2021,15:28:30,-22.3,-22.1,-21.8,-22,-21.4,-21.3,-21.1,-21.3,1
6,12/30/2021,15:28:32,-22.3,-22.1,-21.8,-22,-21.4,-21.4,-21.1,-21.3,1
7,12/30/2021,15:28:34,-22.4,-22.1,-21.9,-22,-21.5,-21.4,-21.1,-21.3,1
8,12/30/2021,15:28:36,-22.4,-22.1,-21.9,-22.1,-21.6,-21.5,-21.1,-21.4,1
9,12/30/2021,15:28:38,-22.4,-22.1,-21.9,-22,-21.6,-21.5,-21.2,-21.4,1
10,12/30/2021,15:28:40,-22.4,-22.1,-22,-22.1,-21.7,-21.5,-21.2,-21.4,1
11,12/30/2021,15:28:42,-22.5,-22.1,-22,-22,-21.7,-21.5,-21.2,-21.4,1
12,12/30/2021,15:28:44,-22.5,-22.1,-22,-22.1,-21.7,-21.6,-21.3,-21.5,1
13,12/30/2021,15:28:46,-22.5,-22.1,-22,-22.1,-21.7,-21.6,-21.3,-21.4,1
14,12/30/2021,15:28:48,-22.5,-22.2,-22.1,-22.1,-21.7,-21.6,-21.3,-21.5,1
15,12/30/2021,15:28:50,-22.4,-22.1,-22.1,-22.1,-21.7,-21.6,-21.3,-21.5,1
16,12/30/2021,15:28:52,-22.5,-22.1,-22.1,-22.1,-21.7,-21.6,-21.3,-21.5,1
17,12/30/2021,15:28:54,-22.4,-22.1,-22.1,-22.1,-21.7,-21.7,-21.3,-21.5,1
18,12/30/2021,15:28:56,-22.5,-22.1,-22.1,-22.1,-21.7,-21.6,-21.3,-21.6,1
19,12/30/2021,15:28:58,-22.4,-22.2,-22.1,-22.1,-21.7,-21.7,-21.3,-21.6,1
