SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,X
1,12/29/2021,22:23:09,-19.9,-20.1,-19.8,-19.8,-19.6,-19.7,-19.7,-19.7,1
2,12/29/2021,22:23:11,-20,-20.1,-19.9,-19.8,-19.7,-19.7,-19.8,-19.8,1
3,12/29/2021,22:23:13,-20,-20.1,-19.8,-19.8,-19.6,-19.8,-19.8,-19.8,1
4,12/29/2021,22:23:15,-20,-20.1,-19.9,-19.8,-19.6,-19.7,-19.8,-19.8,1
5,12/29/2021,22:23:17,-20,-20.1,-19.9,-19.8,-19.6,-19.8,-19.8,-19.8,1
6,12/29/2021,22:23:19,-20.1,-20.2,-20,-19.8,-19.7,-19.7,-19.8,-19.8,1
7,12/29/2021,22:23:21,-20.1,-20.1,-19.9,-19.8,-19.7,-19.8,-19.8,-19.7,1
8,12/29/2021,22:23:23,-20.1,-20.1,-19.9,-19.8,-19.7,-19.8,-19.9,-19.8,1
9,12/29/2021,22:23:25,-20,-20.2,-19.9,-19.9,-19.7,-19.8,-19.9,-19.8,1
10,12/29/2021,22:23:27,-20.1,-20.1,-19.9,-19.9,-19.7,-19.8,-19.8,-19.9,1
11,12/29/2021,22:23:29,-20.1,-20.2,-19.9,-19.9,-19.8,-19.8,-19.8,-19.8,1
12,12/29/2021,22:23:31,-20.1,-20.2,-19.9,-19.9,-19.7,-19.8,-19.9,-19.8,1
13,12/29/2021,22:23:33,-20,-20.2,-19.9,-19.9,-19.8,-19.8,-19.9,-19.8,1
14,12/29/2021,22:23:35,-20.1,-20.3,-19.9,-19.9,-19.8,-19.8,-20,-19.9,1
15,12/29/2021,22:23:37,-20.1,-20.2,-19.9,-20,-19.8,-19.8,-19.9,-19.8,1
16,12/29/2021,22:23:39,-20.1,-20.3,-19.9,-20,-19.7,-19.9,-20,-19.8,1
17,12/29/2021,22:23:41,-20.1,-20.2,-20,-20,-19.7,-19.9,-20,-19.8,1
18,12/29/2021,22:23:43,-20.1,-20.3,-20,-19.9,-19.7,-19.9,-20,-19.9,1
19,12/29/2021,22:23:45,-20.1,-20.3,-20,-20,-19.8,-19.9,-20,-19.8,1
20,12/29/2021,22:23:47,-20.2,-20.3,-20.1,-20,-19.7,-19.9,-20,-19.9,1
21,12/29/2021,22:23:49,-20.1,-20.3,-20.1,-20.1,-19.7,-19.9,-20.1,-19.9,1
22,12/29/2021,22:23:51,-20.1,-20.3,-20.1,-20.1,-19.7,-20,-20.1,-20,1
23,12/29/2021,22:23:53,-20.1,-20.3,-20.1,-20,-19.7,-20,-20,-19.9,1
24,12/29/2021,22:23:55,-20.2,-20.3,-20.1,-20.1,-19.7,-19.9,-20,-20,1
25,12/29/2021,22:23:57,-20.2,-20.3,-20.1,-20.1,-19.8,-20,-20.1,-20,1
26,12/29/2021,22:23:59,-20.2,-20.4,-20.1,-20.1,-19.7,-20,-20.1,-20,1
27,12/29/2021,22:24:01,-20.2,-20.4,-20.2,-20.1,-19.8,-20,-20.1,-20.1,1
28,12/29/2021,22:24:03,-20.3,-20.3,-20.2,-20.2,-19.7,-20,-20,-20,1
29,12/29/2021,22:24:05,-20.2,-20.4,-20.1,-20.1,-19.8,-20,-20.1,-20.1,1
30,12/29/2021,22:24:07,-20.3,-20.4,-20.2,-20.2,-19.7,-20,-20.1,-20.1,1
31,12/29/2021,22:24:09,-20.3,-20.4,-20.2,-20.1,-19.8,-20,-20.1,-20.1,1
32,12/29/2021,22:24:11,-20.3,-20.4,-20.2,-20.1,-19.8,-20,-20.1,-20.1,1
33,12/29/2021,22:24:13,-20.3,-20.4,-20.2,-20.2,-19.8,-20,-20.2,-20.1,1
34,12/29/2021,22:24:15,-20.3,-20.5,-20.2,-20.2,-19.8,-20.1,-20.1,-20.2,1
35,12/29/2021,22:24:17,-20.3,-20.5,-20.2,-20.2,-19.8,-20.1,-20.2,-20.1,1
36,12/29/2021,22:24:19,-20.3,-20.5,-20.2,-20.2,-19.7,-20.2,-20.2,-20.2,1
37,12/29/2021,22:24:21,-20.3,-20.5,-20.2,-20.2,-19.7,-20.1,-20.2,-20.1,1
38,12/29/2021,22:24:23,-20.4,-20.5,-20.2,-20.2,-19.6,-20.2,-20.2,-20.1,1
39,12/29/2021,22:24:25,-20.3,-20.5,-20.2,-20.2,-19.6,-20.1,-20.2,-20.1,1
40,12/29/2021,22:24:27,-20.3,-20.5,-20.2,-20.2,-19.6,-20.1,-20.2,-20.1,1
41,12/29/2021,22:24:29,-20.3,-20.5,-20.2,-20.2,-19.6,-20.1,-20.2,-20.1,1
42,12/29/2021,22:24:31,-20.3,-20.6,-20.2,-20.3,-19.6,-20.2,-20.3,-20.2,1
43,12/29/2021,22:24:33,-20.3,-20.6,-20.2,-20.3,-19.5,-20.2,-20.2,-20.1,1
44,12/29/2021,22:24:35,-20.4,-20.6,-20.3,-20.3,-19.6,-20.2,-20.3,-20.2,1
45,12/29/2021,22:24:37,-20.4,-20.6,-20.3,-20.3,-19.5,-20.2,-20.3,-20.1,1
46,12/29/2021,22:24:39,-20.4,-20.6,-20.3,-20.3,-19.6,-20.2,-20.3,-20.2,1
47,12/29/2021,22:24:41,-20.5,-20.6,-20.3,-20.3,-19.6,-20.2,-20.3,-20.3,1
48,12/29/2021,22:24:43,-20.4,-20.6,-20.4,-20.3,-19.6,-20.2,-20.3,-20.2,1
49,12/29/2021,22:24:45,-20.5,-20.6,-20.4,-20.3,-19.6,-20.2,-20.3,-20.3,1
50,12/29/2021,22:24:47,-20.5,-20.7,-20.3,-20.3,-19.6,-20.2,-20.4,-20.3,1
51,12/29/2021,22:24:49,-20.5,-20.6,-20.4,-20.4,-19.7,-20.2,-20.4,-20.3,1
52,12/29/2021,22:24:51,-20.5,-20.7,-20.4,-20.3,-19.8,-20.3,-20.3,-20.2,1
53,12/29/2021,22:24:53,-20.5,-20.7,-20.5,-20.4,-19.8,-20.2,-20.4,-20.2,1
