SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,Group
2956,1/26/2022,21:24:36,17.1,17.5,17.5,17.9,16.4,17.5,17.5,17.7,1_U
2957,1/26/2022,21:24:38,15.3,15.9,15.9,16.6,14.5,15.9,16.1,16.1,1_U
2958,1/26/2022,21:24:40,13.8,14.5,14.4,15.4,13,14.6,14.8,14.7,1_U
2959,1/26/2022,21:24:43,12.2,12.8,12.7,13.9,11.3,13.1,13.3,13,1_U
2960,1/26/2022,21:24:45,11.1,11.7,11.5,12.9,10.3,12.2,12.4,12,1_U
2961,1/26/2022,21:24:47,10.3,11,10.7,12.1,9.5,11.5,11.6,11.1,1_U
2962,1/26/2022,21:24:49,9.7,10.3,10,11.4,8.9,11,11,10.4,1_U
2963,1/26/2022,21:24:51,9.2,9.7,9.4,10.9,8.4,10.6,10.5,9.8,1_U
2964,1/26/2022,21:24:53,8.8,9.3,9,10.4,8,10.2,10,9.3,1_U
2965,1/26/2022,21:24:55,8.5,8.8,8.6,10,7.7,9.9,9.6,8.9,1_U
2966,1/26/2022,21:24:57,8.2,8.5,8.2,9.6,7.5,9.6,9.3,8.5,1_U
2967,1/26/2022,21:25:00,7.8,8,7.8,9.1,7.1,9.2,8.8,7.9,1_U
2968,1/26/2022,21:25:02,7.5,7.7,7.6,8.8,7,8.9,8.6,7.6,1_U
2969,1/26/2022,21:25:04,7.3,7.6,7.4,8.6,6.8,8.7,8.4,7.4,1_U
2970,1/26/2022,21:25:06,7.2,7.4,7.3,8.4,6.7,8.5,8.2,7.3,1_U
2971,1/26/2022,21:25:08,7.1,7.3,7.1,8.2,6.7,8.4,8.1,7.2,1_U
2972,1/26/2022,21:25:10,7,7.2,7,8.1,6.6,8.2,8,7.1,1_U
2973,1/26/2022,21:25:12,7,7.1,6.8,8,6.5,8.1,7.9,7,1_U
2974,1/26/2022,21:25:14,6.9,7.1,6.7,7.8,6.4,8,7.8,6.9,1_U
2975,1/26/2022,21:25:17,6.7,7,6.6,7.7,6.4,7.9,7.6,6.8,1_U
2976,1/26/2022,21:25:19,6.6,6.9,6.5,7.6,6.4,7.8,7.5,6.7,1_U
2977,1/26/2022,21:25:21,6.6,6.8,6.5,7.5,6.4,7.7,7.4,6.7,1_U
2978,1/26/2022,21:25:23,6.5,6.8,6.4,7.4,6.3,7.7,7.4,6.6,1_U
2979,1/26/2022,21:25:25,6.4,6.8,6.4,7.4,6.3,7.6,7.3,6.6,1_U
2980,1/26/2022,21:25:27,6.4,6.8,6.3,7.3,6.3,7.6,7.2,6.6,1_U
2981,1/26/2022,21:25:29,6.4,6.8,6.3,7.2,6.3,7.6,7.2,6.6,1_U
2982,1/26/2022,21:25:31,6.3,6.8,6.2,7.2,6.3,7.5,7.2,6.6,1_U
2983,1/26/2022,21:25:34,6.3,6.7,6.2,7.1,6.3,7.6,7.1,6.6,1_U
2984,1/26/2022,21:25:36,6.3,6.7,6.2,7.1,6.2,7.6,7.1,6.5,1_U
2985,1/26/2022,21:25:38,6.3,6.7,6.2,7,6.2,7.7,7.1,6.4,1_U
2986,1/26/2022,21:25:40,6.3,6.6,6.1,7,6.1,7.6,7,6.3,1_U
2987,1/26/2022,21:25:42,6.2,6.6,6.1,7,6,7.6,7,6.3,1_U
2988,1/26/2022,21:25:44,6.3,6.6,6.1,6.9,6,7.6,7,6.2,1_U
2989,1/26/2022,21:25:46,6.4,6.5,6.1,6.9,5.9,7.7,6.9,6.2,1_U
2990,1/26/2022,21:25:48,6.4,6.5,6.1,6.8,5.9,7.7,6.9,6.1,1_U
2991,1/26/2022,21:25:51,6.3,6.4,6.1,6.8,5.9,7.6,6.8,6.1,1_U
2992,1/26/2022,21:25:53,6.3,6.4,6,6.8,5.9,7.5,6.8,6.1,1_U
2993,1/26/2022,21:25:55,6.2,6.4,6,6.8,5.9,7.4,6.8,6.1,1_U
2994,1/26/2022,21:25:57,6.2,6.3,6,6.7,5.9,7.3,6.8,6.1,1_U
