Record_SN,Record_DATE,Record_TIME,Unit1_T1_oC,Unit2_T2_oC,Unit3_T3_oC,Unit4_T4_oC,Unit5_T5_oC,Unit6_T6_oC,Unit7_T7_oC,Unit8_T8_oC
1,2022-01-28,13:45:45,"	8.7","	9.5","	10.4","	9.6","	10.6","	9.7","	10.2","	9.8"
2,2022-01-28,13:45:47,"	8.4","	9.2","	10.0","	9.3","	10.2","	9.4","	9.8","	9.5"
3,2022-01-28,13:45:49,"	8.3","	8.9","	9.7","	9.1","	9.9","	9.2","	9.4","	9.2"
4,2022-01-28,13:45:51,"	8.1","	8.7","	9.4","	8.9","	9.6","	9.0","	9.2","	8.9"
5,2022-01-28,13:45:53,"	8.0","	8.6","	9.1","	8.6","	9.3","	9.0","	8.9","	8.7"
6,2022-01-28,13:45:55,"	7.8","	8.4","	8.9","	8.5","	9.1","	8.9","	8.7","	8.6"
7,2022-01-28,13:45:57,"	7.7","	8.3","	8.6","	8.3","	9.0","	8.8","	8.5","	8.4"
8,2022-01-28,13:45:59,"	7.6","	8.2","	8.4","	8.2","	8.8","	8.8","	8.4","	8.2"
9,2022-01-28,13:46:01,"	7.5","	8.2","	8.2","	8.2","	8.7","	8.6","	8.3","	8.0"
10,2022-01-28,13:46:03,"	7.4","	8.2","	8.1","	8.1","	8.6","	8.7","	8.1","	7.9"
11,2022-01-28,13:46:05,"	7.3","	8.0","	7.9","	8.1","	8.6","	8.6","	8.2","	7.8"
12,2022-01-28,13:46:07,"	7.3","	7.9","	7.8","	7.9","	8.5","	8.6","	7.9","	7.7"
13,2022-01-28,13:46:09,"	7.2","	7.8","	7.7","	7.8","	8.5","	8.5","	7.8","	7.7"
14,2022-01-28,13:46:11,"	7.1","	7.7","	7.6","	7.7","	8.5","	8.4","	7.8","	7.7"
15,2022-01-28,13:46:13,"	7.2","	7.7","	7.5","	7.6","	8.5","	8.2","	7.8","	7.6"
16,2022-01-28,13:46:15,"	7.1","	7.5","	7.4","	7.5","	8.5","	8.0","	7.8","	7.5"
17,2022-01-28,13:46:17,"	7.1","	7.5","	7.3","	7.5","	8.3","	7.8","	7.8","	7.7"
18,2022-01-28,13:46:19,"	7.1","	7.4","	7.4","	7.3","	8.3","	7.7","	7.8","	7.5"
19,2022-01-28,13:46:21,"	6.9","	7.2","	7.2","	7.1","	8.1","	7.5","	7.6","	7.4"
20,2022-01-28,13:46:23,"	6.8","	7.2","	7.2","	7.0","	8.1","	7.5","	7.5","	7.3"
21,2022-01-28,13:46:25,"	6.8","	7.1","	7.1","	6.9","	8.2","	7.4","	7.5","	7.2"
22,2022-01-28,13:46:27,"	6.7","	7.1","	7.1","	6.9","	8.1","	7.4","	7.5","	7.1"
23,2022-01-28,13:46:29,"	6.7","	7.0","	7.0","	6.9","	8.0","	7.2","	7.5","	7.1"
24,2022-01-28,13:46:31,"	6.6","	6.9","	6.9","	6.9","	7.8","	7.2","	7.4","	7.0"
25,2022-01-28,13:46:33,"	6.6","	6.9","	6.9","	6.9","	7.7","	7.2","	7.2","	6.8"
26,2022-01-28,13:46:35,"	6.5","	6.9","	6.8","	6.9","	7.7","	7.1","	7.2","	6.7"
27,2022-01-28,13:46:37,"	6.5","	6.8","	6.7","	7.0","	7.5","	6.9","	7.2","	6.7"
28,2022-01-28,13:46:39,"	6.5","	6.8","	6.7","	6.8","	7.4","	7.0","	7.0","	6.7"
29,2022-01-28,13:46:41,"	6.5","	6.8","	6.6","	6.8","	7.3","	6.8","	7.0","	6.5"
30,2022-01-28,13:46:43,"	6.5","	6.7","	6.6","	6.8","	7.3","	6.7","	7.0","	6.6"
31,2022-01-28,13:46:45,"	6.5","	6.6","	6.5","	6.6","	7.2","	6.8","	6.8","	6.5"
32,2022-01-28,13:46:47,"	6.4","	6.5","	6.4","	6.6","	7.1","	6.6","	7.0","	6.5"
33,2022-01-28,13:46:49,"	6.5","	6.5","	6.4","	6.5","	7.1","	6.6","	6.8","	6.4"
34,2022-01-28,13:46:51,"	6.5","	6.4","	6.4","	6.4","	7.0","	6.6","	6.8","	6.3"
35,2022-01-28,13:46:53,"	6.5","	6.5","	6.3","	6.3","	6.9","	6.5","	6.7","	6.4"
36,2022-01-28,13:46:55,"	6.4","	6.4","	6.3","	6.2","	6.8","	6.4","	6.7","	6.2"
37,2022-01-28,13:46:57,"	6.3","	6.4","	6.2","	6.2","	6.8","	6.4","	6.7","	6.4"
38,2022-01-28,13:46:59,"	6.2","	6.3","	6.2","	6.2","	6.7","	6.4","	6.6","	6.2"
39,2022-01-28,13:47:01,"	6.0","	6.3","	6.1","	6.2","	6.7","	6.3","	6.7","	6.3"
40,2022-01-28,13:47:04,"	6.0","	6.4","	6.2","	6.2","	6.6","	6.3","	6.5","	6.3"
41,2022-01-28,13:47:06,"	6.1","	6.4","	6.1","	6.1","	6.6","	6.2","	6.6","	6.2"
42,2022-01-28,13:47:08,"	6.2","	6.4","	6.1","	6.0","	6.5","	6.2","	6.5","	6.2"
43,2022-01-28,13:47:10,"	6.1","	6.5","	6.0","	5.9","	6.5","	6.2","	6.5","	6.1"
44,2022-01-28,13:47:12,"	6.2","	6.5","	6.0","	5.9","	6.4","	6.1","	6.4","	6.1"
45,2022-01-28,13:47:15,"	6.2","	6.3","	6.0","	5.8","	6.4","	6.2","	6.3","	6.1"
46,2022-01-28,13:47:17,"	6.1","	6.2","	5.9","	5.8","	6.2","	6.0","	6.3","	6.0"
47,2022-01-28,13:47:19,"	6.0","	6.1","	5.9","	5.8","	6.2","	6.0","	6.2","	5.9"
48,2022-01-28,13:47:21,"	5.9","	6.0","	5.9","	5.8","	6.2","	6.0","	6.1","	5.8"
49,2022-01-28,13:47:23,"	5.8","	5.9","	5.8","	5.8","	6.1","	5.8","	6.1","	5.8"
50,2022-01-28,13:47:25,"	5.8","	5.8","	5.8","	5.7","	6.1","	5.9","	6.0","	5.8"
51,2022-01-28,13:47:27,"	5.7","	5.7","	5.8","	5.7","	6.1","	5.9","	5.9","	5.7"
52,2022-01-28,13:47:29,"	5.5","	5.7","	5.7","	5.7","	6.1","	5.8","	6.0","	5.7"
53,2022-01-28,13:47:32,"	5.5","	5.6","	5.6","	5.7","	6.0","	5.6","	6.0","	5.7"
54,2022-01-28,13:47:34,"	5.5","	5.5","	5.7","	5.5","	5.9","	5.7","	5.9","	5.6"
55,2022-01-28,13:47:36,"	5.5","	5.5","	5.7","	5.5","	5.9","	5.7","	5.8","	5.7"
56,2022-01-28,13:47:38,"	5.4","	5.4","	5.6","	5.4","	5.9","	5.6","	5.8","	5.7"
57,2022-01-28,13:47:40,"	5.4","	5.4","	5.6","	5.4","	5.9","	5.6","	5.8","	5.6"
58,2022-01-28,13:47:42,"	5.4","	5.3","	5.5","	5.4","	5.8","	5.5","	5.8","	5.6"
59,2022-01-28,13:47:44,"	5.4","	5.3","	5.5","	5.3","	5.8","	5.4","	5.8","	5.5"
60,2022-01-28,13:47:46,"	5.3","	5.3","	5.4","	5.2","	5.8","	5.3","	5.9","	5.5"
61,2022-01-28,13:47:49,"	5.3","	5.3","	5.4","	5.2","	5.7","	5.3","	5.9","	5.4"
62,2022-01-28,13:47:51,"	5.4","	5.3","	5.4","	5.2","	5.7","	5.3","	5.7","	5.3"
63,2022-01-28,13:47:53,"	5.4","	5.3","	5.4","	5.2","	5.7","	5.3","	5.7","	5.2"
64,2022-01-28,13:47:55,"	5.4","	5.3","	5.4","	5.2","	5.7","	5.4","	5.6","	5.2"
65,2022-01-28,13:47:57,"	5.4","	5.3","	5.3","	5.1","	5.7","	5.4","	5.5","	5.2"
66,2022-01-28,13:47:59,"	5.4","	5.3","	5.3","	5.1","	5.6","	5.4","	5.5","	5.2"
67,2022-01-28,13:48:01,"	5.3","	5.2","	5.3","	5.1","	5.6","	5.3","	5.5","	5.2"
68,2022-01-28,13:48:03,"	5.3","	5.2","	5.2","	5.2","	5.6","	5.2","	5.5","	5.1"
