SN,DATE,TIME,T1-oC,T2-oC,T3-oC,T4-oC,T5-oC,T6-oC,T7-oC,T8-oC,Group
24421,3/28/2022,11:43:20,21.3,21.8,21.4,21.5,21.4,21.6,21.5,21.6,1_U
24422,3/28/2022,11:43:24,11.3,11.1,11.8,11.5,10.9,14.7,12.9,12.3,1_U
24423,3/28/2022,11:43:26,9.9,9.8,10.3,9.9,9.4,13.2,11.4,10.8,1_U
24424,3/28/2022,11:43:28,9.2,9.1,9.6,9.1,8.6,12.4,10.6,10,1_U
24425,3/28/2022,11:43:30,8.5,8.7,9,8.5,8,11.7,10,9.4,1_U
24426,3/28/2022,11:43:32,8,8.3,8.6,8,7.6,11.1,9.5,8.8,1_U
24427,3/28/2022,11:43:34,7.6,7.9,8.2,7.5,7.3,10.7,9.1,8.4,1_U
24428,3/28/2022,11:43:36,7.3,7.7,7.8,7.2,7,10.2,8.7,8,1_U
24429,3/28/2022,11:43:38,7,7.5,7.5,6.9,6.8,9.9,8.4,7.7,1_U
24430,3/28/2022,11:43:41,6.6,7.3,7.2,6.7,6.6,9.5,8.1,7.3,1_U
24431,3/28/2022,11:43:43,6.4,7.1,7,6.6,6.5,9.2,7.9,7.1,1_U
24432,3/28/2022,11:43:45,6.3,7,6.9,6.6,6.4,9,7.7,6.9,1_U
24433,3/28/2022,11:43:47,6.2,6.9,6.7,6.6,6.3,8.9,7.6,6.7,1_U
24434,3/28/2022,11:43:49,6.1,6.8,6.6,6.6,6.3,8.7,7.5,6.6,1_U
24435,3/28/2022,11:43:51,6,6.8,6.5,6.6,6.2,8.6,7.4,6.5,1_U
24436,3/28/2022,11:43:53,6,6.8,6.4,6.6,6.2,8.4,7.3,6.5,1_U
24437,3/28/2022,11:43:55,5.9,6.8,6.4,6.6,6.2,8.4,7.3,6.4,1_U
24438,3/28/2022,11:43:58,5.9,6.7,6.3,6.7,6.2,8.3,7.3,6.3,1_U
24439,3/28/2022,11:44:00,5.8,6.6,6.3,6.7,6.1,8.2,7.2,6.2,1_U
24440,3/28/2022,11:44:02,5.8,6.6,6.2,6.8,6.1,8.2,7.1,6.2,1_U
24441,3/28/2022,11:44:04,5.7,6.5,6.2,6.7,6.1,8.1,7.1,6.1,1_U
24442,3/28/2022,11:44:06,5.7,6.5,6.2,6.7,6.1,8.1,7.1,6,1_U
24443,3/28/2022,11:44:08,5.6,6.5,6.1,6.7,6.1,8,7.1,6,1_U
24444,3/28/2022,11:44:10,5.6,6.5,6.1,6.7,6.1,7.9,7,6,1_U
24445,3/28/2022,11:44:12,5.6,6.4,6,6.6,6.1,7.9,7,6,1_U
24446,3/28/2022,11:44:15,5.7,6.4,6,6.5,5.9,7.8,6.9,5.9,1_U
24447,3/28/2022,11:44:17,5.8,6.3,6,6.3,5.9,7.8,6.8,5.9,1_U
24448,3/28/2022,11:44:19,5.8,6.2,6,6.2,5.8,7.8,6.7,5.9,1_U
24449,3/28/2022,11:44:21,5.8,6.1,6,6,5.7,7.7,6.6,5.8,1_U
24450,3/28/2022,11:44:23,5.8,6.1,5.9,5.9,5.6,7.7,6.6,5.8,1_U
24451,3/28/2022,11:44:25,5.8,6.1,5.9,5.9,5.6,7.8,6.5,5.9,1_U
24452,3/28/2022,11:44:27,5.8,6,5.9,5.8,5.6,7.8,6.5,5.8,1_U
24453,3/28/2022,11:44:29,5.7,6,5.9,5.7,5.5,7.7,6.5,5.8,1_U
24454,3/28/2022,11:44:32,5.7,5.9,5.9,5.7,5.5,7.7,6.5,5.8,1_U
24455,3/28/2022,11:44:34,5.7,5.9,5.9,5.6,5.5,7.7,6.5,5.9,1_U
24456,3/28/2022,11:44:36,5.7,5.8,5.9,5.6,5.5,7.6,6.5,5.8,1_U
24457,3/28/2022,11:44:38,5.7,5.8,5.9,5.6,5.5,7.6,6.4,5.8,1_U
24458,3/28/2022,11:44:40,5.7,5.8,6,5.6,5.5,7.6,6.4,5.8,1_U
24459,3/28/2022,11:44:42,5.7,5.8,6,5.6,5.5,7.6,6.4,5.8,1_U
24460,3/28/2022,11:44:44,5.7,5.8,6,5.6,5.5,7.5,6.4,5.8,1_U
24461,3/28/2022,11:44:46,5.7,5.8,6,5.6,5.4,7.5,6.4,5.7,1_U
24462,3/28/2022,11:44:49,5.7,5.8,6,5.6,5.4,7.4,6.3,5.7,1_U
24463,3/28/2022,11:44:51,5.7,5.8,6,5.6,5.4,7.4,6.3,5.7,1_U
24464,3/28/2022,11:44:53,5.7,5.8,6,5.6,5.4,7.4,6.3,5.7,1_U
24465,3/28/2022,11:44:55,5.7,5.8,6,5.6,5.4,7.4,6.3,5.7,1_U
24466,3/28/2022,11:44:57,5.7,5.8,5.9,5.6,5.4,7.3,6.3,5.7,1_U
24467,3/28/2022,11:44:59,5.7,5.8,5.9,5.7,5.4,7.3,6.3,5.7,1_U
24468,3/28/2022,11:45:01,5.7,5.8,5.9,5.7,5.5,7.3,6.3,5.6,1_U
24469,3/28/2022,11:45:03,5.7,5.8,5.8,5.7,5.5,7.3,6.3,5.7,1_U
24470,3/28/2022,11:45:06,5.7,5.8,5.8,5.6,5.5,7.3,6.2,5.7,1_U
24471,3/28/2022,11:45:08,5.7,5.8,5.8,5.6,5.4,7.2,6.2,5.7,1_U
24472,3/28/2022,11:45:10,5.7,5.7,5.9,5.6,5.4,7.2,6.2,5.7,1_U
24473,3/28/2022,11:45:12,5.7,5.7,5.9,5.5,5.4,7.2,6.2,5.7,1_U
24474,3/28/2022,11:45:14,5.7,5.7,5.9,5.5,5.4,7.2,6.2,5.7,1_U
24475,3/28/2022,11:45:16,5.6,5.7,5.9,5.5,5.4,7.2,6.1,5.7,1_U
24476,3/28/2022,11:45:18,5.6,5.7,5.9,5.5,5.4,7.2,6.1,5.8,1_U
24477,3/28/2022,11:45:20,5.5,5.7,5.8,5.6,5.3,7.2,6.1,5.8,1_U
24478,3/28/2022,11:45:23,5.5,5.7,5.8,5.6,5.4,7.2,6,5.7,1_U
24479,3/28/2022,11:45:25,5.4,5.7,5.8,5.6,5.4,7.2,6,5.7,1_U
24480,3/28/2022,11:45:27,5.4,5.7,5.7,5.5,5.3,7.1,6,5.6,1_U
24481,3/28/2022,11:45:29,5.3,5.7,5.7,5.5,5.3,7.1,6,5.6,1_U
24482,3/28/2022,11:45:31,5.3,5.7,5.7,5.5,5.3,7.1,6,5.7,1_U
24483,3/28/2022,11:45:33,5.3,5.7,5.7,5.5,5.3,7,5.9,5.6,1_U
24484,3/28/2022,11:45:35,5.3,5.7,5.7,5.5,5.3,7,6,5.6,1_U
24485,3/28/2022,11:45:37,5.3,5.7,5.7,5.5,5.3,6.9,5.9,5.6,1_U
24486,3/28/2022,11:45:40,5.3,5.6,5.6,5.5,5.3,6.8,5.9,5.6,1_U
24487,3/28/2022,11:45:42,5.3,5.6,5.6,5.4,5.3,6.8,5.9,5.6,1_U
24488,3/28/2022,11:45:44,5.3,5.6,5.6,5.4,5.3,6.8,5.9,5.6,1_U
24489,3/28/2022,11:45:46,5.3,5.5,5.6,5.4,5.3,6.7,5.9,5.6,1_U
24490,3/28/2022,11:45:48,5.3,5.5,5.6,5.3,5.3,6.7,5.9,5.6,1_U
24491,3/28/2022,11:45:50,5.2,5.5,5.6,5.3,5.3,6.7,5.8,5.6,1_U
24492,3/28/2022,11:45:52,5.2,5.5,5.6,5.3,5.2,6.7,5.8,5.5,1_U
24493,3/28/2022,11:45:54,5.2,5.5,5.6,5.3,5.2,6.7,5.8,5.5,1_U
24494,3/28/2022,11:45:57,5.2,5.5,5.5,5.3,5.3,6.6,5.8,5.5,1_U
24495,3/28/2022,11:45:59,5.2,5.5,5.6,5.3,5.3,6.6,5.8,5.5,1_U
24496,3/28/2022,11:46:01,5.2,5.5,5.5,5.3,5.4,6.6,5.8,5.5,1_U
24497,3/28/2022,11:46:03,5.1,5.6,5.5,5.3,5.4,6.6,5.8,5.5,1_U
24498,3/28/2022,11:46:05,5.1,5.6,5.5,5.3,5.5,6.6,5.9,5.5,1_U
24499,3/28/2022,11:46:07,5.1,5.6,5.5,5.4,5.6,6.6,5.9,5.5,1_U
24500,3/28/2022,11:46:09,5.1,5.6,5.5,5.4,5.6,6.5,6,5.4,1_U
24501,3/28/2022,11:46:11,5.1,5.6,5.5,5.4,5.6,6.5,6,5.4,1_U
24502,3/28/2022,11:46:14,5.1,5.6,5.5,5.4,5.5,6.5,5.9,5.4,1_U
24503,3/28/2022,11:46:16,5.1,5.6,5.5,5.4,5.5,6.4,5.9,5.4,1_U
24504,3/28/2022,11:46:18,5.1,5.6,5.4,5.4,5.5,6.4,5.9,5.4,1_U
24505,3/28/2022,11:46:20,5.1,5.6,5.4,5.4,5.5,6.4,5.9,5.4,1_U
24506,3/28/2022,11:46:22,5.1,5.6,5.4,5.4,5.4,6.4,5.8,5.4,1_U
24507,3/28/2022,11:46:24,5.1,5.6,5.4,5.4,5.4,6.4,5.9,5.3,1_U
24508,3/28/2022,11:46:26,5.1,5.6,5.4,5.4,5.4,6.4,5.9,5.3,1_U
24509,3/28/2022,11:46:28,5.1,5.6,5.4,5.4,5.4,6.4,5.9,5.3,1_U
24510,3/28/2022,11:46:31,5.1,5.6,5.4,5.4,5.4,6.3,5.8,5.3,1_U
24511,3/28/2022,11:46:33,5.1,5.5,5.4,5.4,5.3,6.3,5.8,5.3,1_U
24512,3/28/2022,11:46:35,5.1,5.5,5.3,5.4,5.3,6.3,5.8,5.3,1_U
24513,3/28/2022,11:46:37,5.1,5.4,5.3,5.4,5.3,6.3,5.7,5.3,1_U
24514,3/28/2022,11:46:39,5.1,5.4,5.3,5.4,5.2,6.3,5.7,5.3,1_U
24515,3/28/2022,11:46:41,5.1,5.4,5.4,5.4,5.2,6.3,5.7,5.3,1_U
24516,3/28/2022,11:46:43,5.1,5.4,5.4,5.3,5.2,6.3,5.7,5.3,1_U
24517,3/28/2022,11:46:45,5.1,5.3,5.3,5.3,5.2,6.3,5.7,5.3,1_U
24518,3/28/2022,11:46:48,5.1,5.3,5.3,5.2,5.2,6.3,5.6,5.3,1_U
24519,3/28/2022,11:46:50,5.1,5.3,5.3,5.2,5.2,6.3,5.6,5.3,1_U
24520,3/28/2022,11:46:52,5.1,5.3,5.3,5.2,5.2,6.3,5.6,5.3,1_U
24521,3/28/2022,11:46:54,5.1,5.3,5.3,5.2,5.2,6.3,5.6,5.3,1_U
24522,3/28/2022,11:46:56,5.1,5.3,5.3,5.2,5.2,6.2,5.6,5.3,1_U
24523,3/28/2022,11:46:58,5.1,5.3,5.3,5.2,5.2,6.3,5.6,5.3,1_U
24524,3/28/2022,11:47:00,5,5.3,5.3,5.2,5.2,6.2,5.6,5.2,1_U
24525,3/28/2022,11:47:02,5,5.3,5.3,5.2,5.2,6.2,5.6,5.3,1_U
24526,3/28/2022,11:47:05,5,5.4,5.3,5.2,5.2,6.1,5.6,5.3,1_U
24527,3/28/2022,11:47:07,5,5.4,5.3,5.2,5.2,6.2,5.5,5.2,1_U
24528,3/28/2022,11:47:09,5,5.4,5.3,5.2,5.2,6.1,5.5,5.3,1_U
24529,3/28/2022,11:47:11,5,5.4,5.4,5.2,5.2,6.1,5.5,5.3,1_U
24530,3/28/2022,11:47:13,5,5.3,5.4,5.2,5.2,6.2,5.5,5.3,1_U
24531,3/28/2022,11:47:15,5,5.3,5.3,5.2,5.2,6.2,5.5,5.2,1_U
24532,3/28/2022,11:47:17,5,5.3,5.3,5.2,5.2,6.1,5.5,5.3,1_U
24533,3/28/2022,11:47:19,5,5.3,5.3,5.2,5.1,6.2,5.5,5.3,1_U
24534,3/28/2022,11:47:22,5.1,5.3,5.4,5.2,5.2,6.3,5.6,5.4,1_U
24535,3/28/2022,11:47:24,5.1,5.3,5.4,5.2,5.2,6.2,5.6,5.3,1_U
24536,3/28/2022,11:47:26,5.1,5.3,5.4,5.2,5.2,6.2,5.5,5.3,1_U
24537,3/28/2022,11:47:28,5.1,5.2,5.4,5.2,5.2,6.2,5.6,5.3,1_U
24538,3/28/2022,11:47:30,5,5.2,5.4,5.2,5.1,6.2,5.6,5.3,1_U
24539,3/28/2022,11:47:32,5,5.2,5.3,5.2,5.1,6.1,5.5,5.3,1_U
24540,3/28/2022,11:47:34,5,5.3,5.3,5.2,5.1,6.1,5.5,5.3,1_U
24541,3/28/2022,11:47:36,5,5.3,5.3,5.2,5.1,6.1,5.5,5.2,1_U
24542,3/28/2022,11:47:39,5,5.3,5.3,5.2,5.1,6,5.5,5.3,1_U
24543,3/28/2022,11:47:41,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24544,3/28/2022,11:47:43,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24545,3/28/2022,11:47:45,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24546,3/28/2022,11:47:47,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24547,3/28/2022,11:47:49,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24548,3/28/2022,11:47:51,5,5.3,5.3,5.2,5.1,6,5.5,5.2,1_U
24549,3/28/2022,11:47:53,5,5.3,5.3,5.2,5.1,5.9,5.4,5.2,1_U
24550,3/28/2022,11:47:56,5,5.3,5.3,5.1,5.1,6,5.4,5.2,1_U
24551,3/28/2022,11:47:58,5,5.3,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24552,3/28/2022,11:48:00,5,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24553,3/28/2022,11:48:02,5,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24554,3/28/2022,11:48:04,4.9,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24555,3/28/2022,11:48:06,4.9,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24556,3/28/2022,11:48:08,4.9,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24557,3/28/2022,11:48:10,4.9,5.1,5.2,5,5.1,5.9,5.4,5.2,1_U
24558,3/28/2022,11:48:13,4.9,5.1,5.2,5.1,5,5.8,5.4,5.1,1_U
24559,3/28/2022,11:48:15,4.9,5.1,5.2,5.1,5,5.8,5.4,5.2,1_U
24560,3/28/2022,11:48:17,4.9,5.2,5.2,5.1,5,5.8,5.4,5.2,1_U
24561,3/28/2022,11:48:19,4.9,5.2,5.2,5.1,5,5.8,5.3,5.2,1_U
24562,3/28/2022,11:48:21,4.9,5.2,5.2,5.1,5,5.8,5.3,5.1,1_U
24563,3/28/2022,11:48:23,4.9,5.2,5.2,5.1,5,5.8,5.3,5.1,1_U
24564,3/28/2022,11:48:25,4.9,5.2,5.2,5,5,5.8,5.3,5.1,1_U
24565,3/28/2022,11:48:27,4.9,5.1,5.2,5.1,5,5.8,5.3,5.1,1_U
24566,3/28/2022,11:48:30,5,5.2,5.3,5.2,5.1,5.9,5.4,5.2,1_U
24567,3/28/2022,11:48:32,5,5.2,5.3,5.2,5.1,5.9,5.4,5.2,1_U
24568,3/28/2022,11:48:34,5,5.2,5.3,5.1,5.1,5.9,5.4,5.3,1_U
24569,3/28/2022,11:48:36,5,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24570,3/28/2022,11:48:38,5,5.2,5.2,5.2,5.1,5.9,5.4,5.2,1_U
24571,3/28/2022,11:48:40,5,5.2,5.2,5.1,5.1,5.9,5.4,5.2,1_U
24572,3/28/2022,11:48:42,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24573,3/28/2022,11:48:44,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24574,3/28/2022,11:48:47,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24575,3/28/2022,11:48:49,5,5.2,5.2,5.1,5.1,5.8,5.4,5.1,1_U
24576,3/28/2022,11:48:51,5,5.2,5.2,5.1,5.1,5.8,5.4,5.1,1_U
24577,3/28/2022,11:48:53,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24578,3/28/2022,11:48:55,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24579,3/28/2022,11:48:57,5,5.2,5.2,5.1,5.1,5.8,5.4,5.2,1_U
24580,3/28/2022,11:48:59,5,5.2,5.2,5.1,5.1,5.8,5.4,5.1,1_U
24581,3/28/2022,11:49:01,5,5.2,5.2,5.1,5.1,5.7,5.4,5.1,1_U
24582,3/28/2022,11:49:04,5,5.1,5.2,5.1,5.1,5.7,5.3,5.1,1_U
24583,3/28/2022,11:49:06,5,5.1,5.2,5.1,5,5.7,5.4,5.1,1_U
24584,3/28/2022,11:49:08,5,5.1,5.2,5.1,5.1,5.7,5.4,5.2,1_U
24585,3/28/2022,11:49:10,4.9,5.1,5.2,5,5,5.7,5.3,5.1,1_U
24586,3/28/2022,11:49:12,5,5.1,5.2,5,5.1,5.7,5.3,5.2,1_U
24587,3/28/2022,11:49:14,4.9,5.1,5.2,5,5,5.7,5.3,5.1,1_U
24588,3/28/2022,11:49:16,5,5.1,5.2,5,5,5.7,5.3,5.1,1_U
24589,3/28/2022,11:49:18,5,5.1,5.2,5,5,5.7,5.3,5.2,1_U
24590,3/28/2022,11:49:21,4.9,5.1,5.2,5,5,5.7,5.3,5.2,1_U
24591,3/28/2022,11:49:23,4.9,5.1,5.2,5,5,5.7,5.3,5.1,1_U
24592,3/28/2022,11:49:25,4.9,5.1,5.2,5.1,5,5.7,5.3,5.1,1_U
24593,3/28/2022,11:49:27,4.9,5.1,5.1,5.1,5,5.7,5.3,5.1,1_U
24594,3/28/2022,11:49:29,4.9,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24595,3/28/2022,11:49:31,4.9,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24596,3/28/2022,11:49:33,4.8,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24597,3/28/2022,11:49:35,4.9,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24598,3/28/2022,11:49:38,4.9,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24599,3/28/2022,11:49:40,4.9,5.1,5.1,5.1,5,5.6,5.3,5.1,1_U
24600,3/28/2022,11:49:42,4.9,5.1,5.1,5,5,5.6,5.3,5.1,1_U
24601,3/28/2022,11:49:44,4.8,5.1,5.1,5,5,5.6,5.3,5.1,1_U
24602,3/28/2022,11:49:46,4.8,5,5.1,5,5.1,5.6,5.3,5,1_U
24603,3/28/2022,11:49:48,4.8,5.1,5.1,5,5.1,5.5,5.3,5,1_U
24604,3/28/2022,11:49:50,4.8,5.1,5.1,5,5.1,5.6,5.3,5,1_U
