Group,Month,Jar,SCP_Value
Nov_1_U,November,1_Open,-21.5
Nov_1_U,November,1_Open,-22.8
Nov_1_U,November,1_Open,-25.4
Nov_1_U,November,1_Open,-27.8
Nov_1_U,November,1_Open,-22.3
Nov_1_U,November,1_Open,-21.8
Nov_1_U,November,1_Open,-22.5
Nov_1_U,November,1_Open,-24.2
Nov_1_D,November,1_Dense,-23.2
Nov_1_D,November,1_Dense,-21.3
Nov_1_D,November,1_Dense,-22
Nov_1_D,November,1_Dense,-20.4
Nov_1_D,November,1_Dense,-24.2
Nov_1_D,November,1_Dense,-22
Nov_1_D,November,1_Dense,-20
Nov_2_U,November,2_Open,-25.6
Nov_2_U,November,2_Open,-22.5
Nov_2_U,November,2_Open,-26.8
Nov_2_U,November,2_Open,-26.1
Nov_2_D,November,2_Dense,-22.5
Nov_2_D,November,2_Dense,-23.7
Nov_2_D,November,2_Dense,-24.1
Nov_2_D,November,2_Dense,-23.6
Nov_2_D,November,2_Dense,-21.5
Nov_2_D,November,2_Dense,-22.8
Nov_2_D,November,2_Dense,-25.4
Nov_2_D,November,2_Dense,-27.8
Nov_2_D,November,2_Dense,-22.3
Nov_2_D,November,2_Dense,-21.8
Nov_3_U,November,3_Open,-22.5
Nov_3_U,November,3_Open,-24.2
Nov_3_U,November,3_Open,-23.2
Nov_3_U,November,3_Open,-21.3
Nov_3_D,November,3_Dense,-19.4
Nov_3_D,November,3_Dense,-20.4
Nov_3_D,November,3_Dense,-24.9
Nov_3_D,November,3_Dense,-24.7
Nov_3_D,November,3_Dense,-26.2
Dec_1_U,December,1_Open,-23.6
Dec_1_U,December,1_Open,-24.5
Dec_1_U,December,1_Open,-23
Dec_1_U,December,1_Open,-25
Dec_1_U,December,1_Open,-21.6
Dec_1_U,December,1_Open,-24.5
Dec_1_U,December,1_Open,-24.7
Dec_1_U,December,1_Open,-23
Dec_1_U,December,1_Open,-23.8
Dec_1_U,December,1_Open,-23.8
Dec_1_D,December,1_Dense,-23.2
Dec_1_D,December,1_Dense,-23.4
Dec_1_D,December,1_Dense,-22.2
Dec_1_D,December,1_Dense,-22.4
Dec_1_D,December,1_Dense,-21.2
Dec_1_D,December,1_Dense,-25.6
Dec_1_D,December,1_Dense,-25.2
Dec_1_D,December,1_Dense,-26.7
Dec_1_D,December,1_Dense,-25.4
Dec_1_D,December,1_Dense,-25.6
Dec_2_U,December,2_Open,-25.3
Dec_2_U,December,2_Open,-21.5
Dec_2_U,December,2_Open,-22.6
Dec_2_U,December,2_Open,-22.7
Dec_2_U,December,2_Open,-22.6
Dec_2_U,December,2_Open,-22.8
Dec_2_D,December,2_Dense,-22.6
Dec_2_D,December,2_Dense,-23.3
Dec_2_D,December,2_Dense,-22.7
Dec_2_D,December,2_Dense,-22.2
Dec_2_D,December,2_Dense,-22.4
Dec_3_U,December,3_Open,-23.2
Dec_3_U,December,3_Open,-26.2
Dec_3_U,December,3_Open,-25.7
Dec_3_U,December,3_Open,-23.2
Dec_3_U,December,3_Open,-25.1
Dec_3_U,December,3_Open,-23.7
Dec_3_U,December,3_Open,-24.6
Dec_3_U,December,3_Open,-23.3
