No.,Date,SCP_Value,Group
1,11/17/2021,-21.5,No_Chill
2,11/17/2021,-19.7,No_Chill
3,11/17/2021,-27.8,No_Chill
4,11/17/2021,-27.8,No_Chill
5,11/17/2021,-24.2,No_Chill
6,11/17/2021,-23.1,No_Chill
7,11/17/2021,-17.8,No_Chill
11,11/17/2021,-21.5,No_Chill
12,11/17/2021,-21.6,No_Chill
13,11/17/2021,-21.9,No_Chill
14,11/17/2021,-21.4,No_Chill
15,11/17/2021,-24.9,No_Chill
16,11/17/2021,-26.2,No_Chill
17,11/17/2021,-24.9,No_Chill
19,11/17/2021,-23.7,No_Chill
20,17-Nov,-25.2,No_Chill
21,18-Nov,-24.9,No_Chill
22,19-Nov,-25.6,No_Chill
23,20-Nov,-23.5,No_Chill
24,21-Nov,-25.5,No_Chill
25,22-Nov,-25.8,No_Chill
26,23-Nov,-23.1,No_Chill
27,28-Nov,-21.7,No_Chill
28,28-Nov,-25.8,No_Chill
29,28-Nov,-25.3,No_Chill
30,28-Nov,-26.1,No_Chill
31,28-Nov,-22.0,No_Chill
32,28-Nov,-26.9,No_Chill
33,28-Nov,-23.0,No_Chill
34,28-Nov,-19.7,No_Chill
35,28-Nov,-24.2,No_Chill
38,28-Nov,-23.1,No_Chill
39,28-Nov,-17.8,No_Chill
40,28-Nov,-21.5,No_Chill
41,28-Nov,,No_Chill
42,11/30/2021,,No_Chill
43,11/30/2021,,No_Chill
44,11/30/2021,,No_Chill
45,11/30/2021,-26.2,No_Chill
46,11/30/2021,-24.9,No_Chill
47,11/30/2021,-24.9,No_Chill
48,11/30/2021,,No_Chill
49,11/30/2021,,No_Chill
50,11/30/2021,,No_Chill
51,11/30/2021,,No_Chill
52,11/30/2021,,No_Chill
53,11/30/2021,-25.8,No_Chill
54,11/30/2021,-23.1,No_Chill
55,11/30/2021,,No_Chill
56,11/30/2021,,No_Chill
57,11/30/2021,,No_Chill
58,11/30/2021,,No_Chill
59,11/30/2021,,No_Chill
60,12/1/2021,,No_Chill
61,12/1/2021,-23.0,No_Chill
62,12/1/2021,-18.0,No_Chill
63,12/1/2021,,No_Chill
64,12/1/2021,,No_Chill
65,12/1/2021,,No_Chill
66,12/1/2021,,No_Chill
67,12/1/2021,,No_Chill
68,12/1/2021,,No_Chill
69,12/1/2021,,No_Chill
70,12/1/2021,,No_Chill
71,12/1/2021,,No_Chill
72,12/1/2021,,No_Chill
73,12/1/2021,,No_Chill
74,12/1/2021,,No_Chill
75,12/1/2021,,No_Chill
76,12/2/2021,,No_Chill
77,12/2/2021,-23.0,No_Chill
78,12/2/2021,-25.5,No_Chill
79,12/2/2021,-21.1,No_Chill
80,12/2/2021,-22.8,No_Chill
81,12/2/2021,,No_Chill
82,12/2/2021,,No_Chill
83,12/2/2021,,No_Chill
84,12/2/2021,,No_Chill
85,12/2/2021,-24.1,No_Chill
86,12/2/2021,-27.3,No_Chill
87,12/2/2021,-26.8,No_Chill
88,12/2/2021,,No_Chill
89,12/2/2021,,No_Chill
90,12/2/2021,,No_Chill
91,12/2/2021,,No_Chill
92,12/2/2021,,No_Chill
93,,-23.3,No_Chill
94,,-25.8,No_Chill
95,,-24.7,No_Chill
96,,,No_Chill
97,,,No_Chill
98,,,No_Chill
99,,,No_Chill
100,,,No_Chill
101,,-22.2,No_Chill
102,,-23.0,No_Chill
103,,-23.1,No_Chill
104,,-24.0,No_Chill
105,,-25.9,No_Chill
106,,-21.0,No_Chill
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,-23.8,Chill_1
118,,-25.1,Chill_1
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,-27.3,Chill_1
126,,-20.0,Chill_1
127,,-21.5,Chill_1
128,,-20.5,Chill_1
129,,,
130,,,
131,,,
132,,,
133,,-22.4,Chill_1
134,,-25.6,Chill_1
135,,-25.6,Chill_1
136,,-23.7,Chill_1
137,,-23.7,Chill_1
138,,-23.6,Chill_1
139,,-24.1,Chill_1
140,,,
141,,-26.6,Chill_2
142,,-20.5,Chill_2
143,,-24.9,Chill_2
144,,-26.3,Chill_2
145,,-25.0,Chill_2
146,,-26.3,Chill_2
147,,-25.7,Chill_2
148,,-25.7,Chill_2
149,,-25.2,Chill_2
150,,-26.8,Chill_2
151,,,
152,,,
153,,-21.6,Chill_3
154,,-26.5,Chill_3
155,,-21.4,Chill_3
156,,-25.8,Chill_3
157,,-20.8,Chill_3
158,,-25.6,Chill_3
159,,-24.9,Chill_3
160,,,
161,,-23.3,Chill_3
162,,-23.9,Chill_3
163,,-22.4,Chill_3
164,,-22.0,Chill_3
165,,-22.4,Chill_3
166,,,
167,,,
168,,,
169,,-23.3,Chill_3
170,,-24.1,Chill_3
171,,-24.9,Chill_3
172,,-24.9,Chill_3
173,,,
174,,,
175,,,
176,,,
177,,-24.6,Chill_3
178,,-24.2,Chill_3
179,,-25.3,Chill_3
180,,-24.2,Chill_3
181,,-24.6,Chill_3
,,,
,,,
,,,
