Group,SCP_Value,Group_2
No_Chill,-21.5,No_Chill
No_Chill,-19.7,No_Chill
No_Chill,-27.8,No_Chill
No_Chill,-27.8,No_Chill
No_Chill,-24.2,No_Chill
No_Chill,-23.1,No_Chill
No_Chill,-17.8,No_Chill
No_Chill,-21.5,No_Chill
No_Chill,-21.6,No_Chill
No_Chill,-21.9,No_Chill
No_Chill,-21.4,No_Chill
No_Chill,-24.9,No_Chill
No_Chill,-26.2,No_Chill
No_Chill,-24.9,No_Chill
No_Chill,-23.7,No_Chill
No_Chill,-25.2,No_Chill
No_Chill,-24.9,No_Chill
No_Chill,-25.6,No_Chill
No_Chill,-23.5,No_Chill
No_Chill,-25.5,No_Chill
No_Chill,-25.8,No_Chill
No_Chill,-23.1,No_Chill
No_Chill,-21.7,No_Chill
No_Chill,-25.8,No_Chill
No_Chill,-25.3,No_Chill
No_Chill,-26.1,No_Chill
No_Chill,-22.0,No_Chill
No_Chill,-26.9,No_Chill
No_Chill,-23.0,No_Chill
No_Chill,-19.7,No_Chill
No_Chill,-24.2,No_Chill
No_Chill,-23.1,No_Chill
No_Chill,-17.8,No_Chill
No_Chill,-21.5,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-26.2,No_Chill
No_Chill,-24.9,No_Chill
No_Chill,-24.9,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-25.8,No_Chill
No_Chill,-23.1,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-23.0,No_Chill
No_Chill,-18.0,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-23.0,No_Chill
No_Chill,-25.5,No_Chill
No_Chill,-21.1,No_Chill
No_Chill,-22.8,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-24.1,No_Chill
No_Chill,-27.3,No_Chill
No_Chill,-26.8,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-23.3,No_Chill
No_Chill,-25.8,No_Chill
No_Chill,-24.7,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,,No_Chill
No_Chill,-22.2,No_Chill
No_Chill,-23.0,No_Chill
No_Chill,-23.1,No_Chill
No_Chill,-24.0,No_Chill
No_Chill,-25.9,No_Chill
No_Chill,-21.0,No_Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
Chill_1,-23.8,Chill
Chill_1,-25.1,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
,,Chill
Chill_1,-27.3,Chill
Chill_1,-20.0,Chill
Chill_1,-21.5,Chill
Chill_1,-20.5,Chill
,,Chill
,,Chill
,,Chill
,,Chill
Chill_1,-22.4,Chill
Chill_1,-25.6,Chill
Chill_1,-25.6,Chill
Chill_1,-23.7,Chill
Chill_1,-23.7,Chill
Chill_1,-23.6,Chill
Chill_1,-24.1,Chill
,,Chill
Chill_2,-26.6,Chill
Chill_2,-20.5,Chill
Chill_2,-24.9,Chill
Chill_2,-26.3,Chill
Chill_2,-25.0,Chill
Chill_2,-26.3,Chill
Chill_2,-25.7,Chill
Chill_2,-25.7,Chill
Chill_2,-25.2,Chill
Chill_2,-26.8,Chill
,,Chill
,,Chill
Chill_3,-21.6,Chill
Chill_3,-26.5,Chill
Chill_3,-21.4,Chill
Chill_3,-25.8,Chill
Chill_3,-20.8,Chill
Chill_3,-25.6,Chill
Chill_3,-24.9,Chill
,,Chill
Chill_3,-23.3,Chill
Chill_3,-23.9,Chill
Chill_3,-22.4,Chill
Chill_3,-22.0,Chill
Chill_3,-22.4,Chill
,,Chill
,,Chill
,,Chill
Chill_3,-23.3,Chill
Chill_3,-24.1,Chill
Chill_3,-24.9,Chill
Chill_3,-24.9,Chill
,,Chill
,,Chill
,,Chill
,,Chill
Chill_3,-24.6,Chill
Chill_3,-24.2,Chill
Chill_3,-25.3,Chill
Chill_3,-24.2,Chill
Chill_3,-24.6,Chill
,,Chill
,,Chill
,,Chill
