DateTime,TemperatureC,Group
2/23/2022 15:30,8.6,11_1_4_D
2/23/2022 16:00,0,11_1_4_D
2/23/2022 16:30,-1,11_1_4_D
2/23/2022 17:00,-2,11_1_4_D
2/23/2022 17:30,-3.5,11_1_4_D
2/23/2022 18:00,-4,11_1_4_D
2/23/2022 18:30,-4.5,11_1_4_D
2/23/2022 19:00,-5,11_1_4_D
2/23/2022 19:30,-5,11_1_4_D
2/23/2022 20:00,-5.5,11_1_4_D
2/23/2022 20:30,-5.5,11_1_4_D
2/23/2022 21:00,-6,11_1_4_D
2/23/2022 21:30,-7,11_1_4_D
2/23/2022 22:00,-7.5,11_1_4_D
2/23/2022 22:30,-8,11_1_4_D
2/23/2022 23:00,-8.5,11_1_4_D
2/23/2022 23:30,-8.5,11_1_4_D
2/24/2022 0:00,-8.5,11_1_4_D
2/24/2022 0:30,-9,11_1_4_D
2/24/2022 1:00,-9,11_1_4_D
2/24/2022 1:30,-9,11_1_4_D
2/24/2022 2:00,-10,11_1_4_D
2/24/2022 2:30,-10,11_1_4_D
2/24/2022 3:00,-10,11_1_4_D
2/24/2022 3:30,-10.5,11_1_4_D
2/24/2022 4:00,-10.5,11_1_4_D
2/24/2022 4:30,-11,11_1_4_D
2/24/2022 5:00,-11.5,11_1_4_D
2/24/2022 5:30,-12,11_1_4_D
2/24/2022 6:00,-13,11_1_4_D
2/24/2022 6:30,-13.6,11_1_4_D
2/24/2022 7:00,-13.6,11_1_4_D
2/24/2022 7:30,-13.6,11_1_4_D
2/24/2022 8:00,-13.6,11_1_4_D
2/24/2022 8:30,-13,11_1_4_D
2/24/2022 9:00,-12,11_1_4_D
2/24/2022 9:30,-11.5,11_1_4_D
2/24/2022 10:00,-9,11_1_4_D
2/24/2022 10:30,-8.5,11_1_4_D
2/24/2022 11:00,-7,11_1_4_D
2/24/2022 11:30,-4.5,11_1_4_D
2/24/2022 12:00,-5.5,11_1_4_D
2/24/2022 12:30,-6,11_1_4_D
2/24/2022 13:00,-7,11_1_4_D
2/24/2022 13:30,-7,11_1_4_D
2/24/2022 14:00,-7,11_1_4_D
2/24/2022 14:30,-6,11_1_4_D
2/24/2022 15:00,-6,11_1_4_D
2/24/2022 15:30,-6,11_1_4_D
2/24/2022 16:00,-6.5,11_1_4_D
2/24/2022 16:30,-7,11_1_4_D
2/24/2022 17:00,-7.5,11_1_4_D
2/24/2022 17:30,-8,11_1_4_D
2/24/2022 18:00,-8.5,11_1_4_D
2/24/2022 18:30,-9,11_1_4_D
2/24/2022 19:00,-9,11_1_4_D
2/24/2022 19:30,-9.5,11_1_4_D
2/24/2022 20:00,-10,11_1_4_D
2/24/2022 20:30,-10.5,11_1_4_D
2/24/2022 21:00,-11,11_1_4_D
