"",12/3/2021
"Timezone",-5

"Serial No.","9F00000078DFDF41"
"Location:","Jericho_5_1_3U"
"High temperature limit (°C)",20.19
"Low temperature limit (°C)",-30.25
"Date - Time","Temperature (°C)"
44518.66668,8.1
44518.68751,7.1
44518.70834,6.6
44518.72918,6.6
44518.75001,6.1
44518.77084,6.1
44518.79168,5.6
44518.81251,5.6
44518.83334,5.6
44518.85418,5.1
44518.87501,4.1
44518.89584,3.6
44518.91668,3.1
44518.93751,3.1
44518.95834,2.6
44518.97918,2.1
44519.00001,1.6
44519.02084,1.6
44519.04168,1.6
44519.06251,1.6
44519.08334,1.6
44519.10418,1.6
44519.12501,1.6
44519.14584,1.6
44519.16668,1.1
44519.18751,2.1
44519.20834,1.6
44519.22918,2.1
44519.25001,2.1
44519.27084,2.1
44519.29168,2.6
44519.31251,3.1
44519.33334,3.1
44519.35418,3.1
44519.37501,3.1
44519.39584,2.6
44519.41668,3.1
44519.43751,1.6
44519.45834,2.1
44519.47918,2.6
44519.50001,4.6
44519.52084,2.6
44519.54168,2.1
44519.56251,2.1
44519.58334,1.6
44519.60418,1.6
44519.62501,1.1
44519.64584,0.6
44519.66668,-0.4
44519.68751,-0.4
44519.70834,-0.4
44519.72918,-0.4
44519.75001,0.1
44519.77084,0.1
44519.79168,-0.4
44519.81251,0.1
44519.83334,0.6
44519.85418,0.1
44519.87501,0.6
44519.89584,0.6
44519.91668,0.1
44519.93751,-0.9
44519.95834,-1.4
44519.97918,-1.4
44520.00001,-1.4
44520.02084,-1.9
44520.04168,-1.9
44520.06251,-1.9
44520.08334,-1.9
44520.10418,-1.9
44520.12501,-2.4
44520.14584,-2.4
44520.16668,-2.9
44520.18751,-2.9
44520.20834,-2.9
44520.22918,-3.4
44520.25001,-3.4
44520.27084,-2.9
44520.29168,-2.9
44520.31251,-2.4
44520.33334,-1.9
44520.35418,-0.4
44520.37501,2.1
44520.39584,8.1
44520.41668,2.6
44520.43751,5.6
44520.45834,5.1
44520.47918,4.6
44520.50001,5.6
44520.52084,7.6
44520.54168,5.1
44520.56251,5.6
44520.58334,6.1
44520.60418,3.6
44520.62501,2.1
44520.64584,1.6
44520.66668,1.6
44520.68751,1.1
44520.70834,1.1
44520.72918,1.1
44520.75001,1.6
44520.77084,1.6
44520.79168,1.1
44520.81251,1.1
44520.83334,2.6
44520.85418,3.1
44520.87501,3.6
44520.89584,3.6
44520.91668,3.6
44520.93751,3.6
44520.95834,3.6
44520.97918,3.1
44521.00001,3.1
44521.02084,3.1
44521.04168,3.1
44521.06251,2.6
44521.08334,2.6
44521.10418,3.1
44521.12501,3.6
44521.14584,3.1
44521.16668,3.1
44521.18751,3.6
44521.20834,3.6
44521.22918,2.6
44521.25001,1.6
44521.27084,1.6
44521.29168,1.6
44521.31251,2.6
44521.33334,3.6
44521.35418,4.6
44521.37501,5.6
44521.39584,10.2
44521.41668,7.1
44521.43751,9.2
44521.45834,9.7
44521.47918,8.6
44521.50001,11.7
44521.52084,11.2
44521.54168,9.7
44521.56251,9.2
44521.58334,8.6
44521.60418,7.6
44521.62501,6.1
44521.64584,5.1
44521.66668,5.1
44521.68751,5.1
44521.70834,5.1
44521.72918,4.6
44521.75001,5.6
44521.77084,4.6
44521.79168,3.6
44521.81251,3.6
44521.83334,3.1
44521.85418,3.1
44521.87501,3.6
44521.89584,3.6
44521.91668,3.6
44521.93751,4.1
44521.95834,5.6
44521.97918,6.6
44522.00001,6.6
44522.02084,6.6
44522.04168,7.1
44522.06251,7.1
44522.08334,7.1
44522.10418,7.1
44522.12501,7.1
44522.14584,7.1
44522.16668,6.6
44522.18751,7.1
44522.20834,6.6
44522.22918,6.6
44522.25001,6.1
44522.27084,6.1
44522.29168,6.1
44522.31251,7.1
44522.33334,7.1
44522.35418,4.6
44522.37501,4.6
44522.39584,4.1
44522.41668,4.1
44522.43751,5.1
44522.45834,5.1
