STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,,visual egg survey @ 30 min/tree on 10 ash trees/plot.,,Research,LPR4,"4/21/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,1,Yes,,Leah Bauer,-84.38,42.7,EAB egg with O. agrili exit hole & meconium; parasitism from 2012.,lsbauer,LPRFLT,0
Michigan,"1,770",visual egg survey @ 30 min/tree on 10 ash trees/plot,,Research,LPR7,"4/21/2013, 8:00 PM",0,0,2,0,0,0,Egg Collection,4,Yes,,Leah Bauer,-84.38,42.7,EAB egg with O. agrili exit hole & meconium; parasitism from 2012.,lsbauer,LPRFLT,0
Indiana,"2,026",Recovered Tetrastichus pupae from an EAB larvae while debarking green trees at the Orleans site. Found overwintering pupae and reared them out to adults. Oobius adults were reared from ash logs in cardboard rearing tubes.,,Research,Orleans,"2/27/2013, 7:00 PM",0,108,2,0,3,0,Tree Debarking,4,Yes,,Donnie Peterson & Leah Bayer,-86.49,38.6,Tetrastichus planipennisi adult identification was confirmed (Juli Gould). Oobius agrili adult identifications were confirmed.,donaldson77,Orleans-July-8-2010,0
Indiana,"2,039","Ritchey Woods site, compared to voucher specimens of T. planipennisi. Recovered by peeling bark off of logs.",,Program,Ritchey,"2/18/2013, 7:00 PM",0,22,0,0,1,0,Tree Debarking,4,Yes,,Donnie Peterson,-86.04,39.94,Juli Gould confirmed T. planipennisi.,donaldson77,Ritchey Wood-2,0
Indiana,"2,026",Orleans Site,,,Orleans,"2/27/2013, 7:00 PM",0,0,2,0,0,0,Bark in Tubes,2,Yes,"6/11/2013, 8:00 PM",Leah Bauer,-86.49,38.6,Leah Bauer confirmed Oobius agrili adults,donaldson77,Orleans,0
Minnesota,"1,818","Tree that was sampled is about 1/2 mile from Great River Bluffs State Park site 2. Recovered from a green ash in a branch sample 4"" in diameter.",,,184W.GC,"10/22/2013, 8:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,,Juli Gould,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Minnesota,"1,818","A clutch of what looks to be Tetrastichus planipennisi larvae was found in a 3"" diam. branch sample about 1/2 mile from the nearest release site. About 20 larvae were recovered from the EAB gallery.",,,176W.A,"10/31/2013, 8:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,"12/4/2013, 7:00 PM",Juli Gould,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Indiana,"2,025","Huntington site Recovered Tetrastichus larvae from EAB larvae while debarking ash trees. Reared to adults (May 2, 2011)",,,Huntington,"3/15/2011, 8:00 PM",0,0,0,0,8,0,Tree Debarking,7,Yes,,null,-85.46,40.84,ID confirmed by Cliff Sadof & Leah Bauer by comparing to vouchers. Juli Gould confirmed T. planipennisi.,donaldson77,Huntington-2,0
Illinois,,"Four ash trees were cut at Schiller Woods, Chicago on 3/29/11, logs were transported to E. Lansing, and placed in rearing tubes.",,,Schiller,"5/3/2011, 8:00 PM",0,18,0,0,1,0,Logs in Tubes,28,Yes,"3/28/2011, 8:00 PM",Leah Bauer,-87.86,41.96,rearing tubes were held at room temp. Tet adults assumed to be from one clutch: 13 females & 5 males,lsbauer,Schiller Woods,0
Michigan,"1,769",This documents reproduction and overwintering of Oobius agrili at the first 2007 release site.,,,CPR1,"4/7/2008, 8:00 PM",0,0,3,0,0,0,Logs in Tubes,2,Yes,,"Houping Liu, Leah Bauer",-84.42,42.73,Two trees were felled in April 2008 and put in rearing tubes. Adult Oobius agrili emerged about a month later.,lsbauer,CPNMLT,0
